modform,intensity,mass
1[Ox],50,15.9994
1[Cys],815,119.1423
1[Ox]1[Cys],192,135.1417
2[Ph]1[Ox],562,175.9592
1[Me1]3[Cys]1[Na],187,199.1143
1[Ph]1[Cys],821,199.1222
2[Ph]1[Ac],475,201.9965
2[Ac]1[Cys],438,203.2157
1[Ph]1[Cys]1[Na],442,221.1040
1[Ph]1[Cys]1[Ac],536,241.1589
3[Ph]1[Me1],418,253.9663
1[Ph]1[Ac]1[Me1]1[Cys],124,255.1855
1[Ph]1[Me1]2[Cys]1[Na],91,257.1124
2[Ph]1[Cys],656,279.1021
1[Me2]2[Ox]2[Cys],130,298.3366
3[Ph]1[Cys],365,359.0820
3[Ph]1[Me1]1[Cys],230,373.1086
5[Ph]1[Me1],147,413.9261
1[Ph]3[Cys],258,437.4068
3[Ph]2[Cys],152,478.2243
3[Ph]1[Ox]2[Cys],61,494.2237
3[Ph]2[Cys]1[Na],151,500.2061
3[Ph]1[Me2]2[Cys],179,506.2775
2[Ph]1[Ox]3[Cys],213,533.3861
3[Ph]1[Ac]1[Me2]2[Cys],244,548.3142
3[Ph]2[Ac]2[Cys],382,562.2977
4[Ph]2[Cys]1[Na],194,580.1860
3[Ph]1[Ox]3[Cys],211,613.3660
4[Ph]3[Cys],331,677.3465
6[Ph]2[Cys],176,718.1640
