PTM pattern,intensity,mass
1[Cys]2[Ph]1[Ox],400,295.1015
3[Ph]2[Ox]1[Na],400,293.92030
1[Me1],400,14.0266
1[Ox],400,15.9994
1[Cys]2[Ph]1[Ac]1[Me1],400,335.1654
1[Cys]1[Ph]3[Ac]1[Me1],400,339.2589
2[Ph]1[Ac]1[Na]1[Me1],400,238.0049
2[Ph]2[Ac],400,244.0332
2[Ph]1[Ox],400,175.9592
4[Ac]1[Ox],400,184.14620
1[Cys]3[Ph]3[Ac],400,485.1921
1[Cys]4[Ph]1[Ac]1[Me1],400,495.1252
1[Cys]3[Ph]2[Ac],400,443.1554
1[Cys]4[Ph]1[Ox],400,455.0613
1[Ac]1[Ox],400,58.0361
1[Ac]1[Ox]1[Me1],400,72.0627
1[Cys],400,119.1423
1[Cys]1[Ox],400,135.1417
