index,PTM pattern,mass,intensity
1,1[Cys],119.1423,732
2,1[Cys]1[Ox],135.1417,162
3,1[Cys]1[Ac]1[Ox],177.1784,188
4,1[Cys]1[Ph],199.1222,265
5,1[Cys]1[Ph]1[Ox],215.1216,191
6,1[Cys]2[Ph]1[Ox],295.1015,689
7,1[Cys]2[Ph]1[Ac]2[Ox],353.1376,308
8,1[Cys]3[Ph]1[Ox],375.0814,577
9,1[Cys]3[Ph]2[Ox],391.0808,243
10,1[Cys]3[Ph]1[Ac]2[Ox],433.1175,281
11,1[Cys]3[Ph]2[Ac]1[Ox],459.1548,326
12,1[Cys]4[Ph]2[Ox],471.0607,264
13,1[Cys]4[Ph]1[Ac]1[Ox],497.098,178
14,1[Cys]4[Ph]1[Ac]3[Ox],529.0968,246
15,1[Cys]4[Ph]2[Ac]2[Ox],555.1341,251
16,1[Cys]5[Ph]2[Ac]1[Ox],619.1146,179
17,1[Cys]5[Ph]2[Ac]2[Ox],635.114,261
18,1[Cys]6[Ph]1[Ac]1[Ox],657.0578,208
