PTM pattern,intensity,intensity2,intensity3,mass
1[Me1],400,400,100,14.0266
1[Ox],400,200,400,15.9994
2[Ph]1[Me1]1[Cys],400,400,100,293.1287
1[Ph]2[Ac]1[Me1]1[Cys],400,200,400,297.2222
2[Ph]1[Ac]1[Me1]1[Na],400,400,100,238.0049
2[Ph]2[Ac],400,200,400,244.0332
2[Ph]1[Ox],400,400,100,175.9592
4[Ac]1[Ox],400,200,400,184.14620
2[Ph]3[Ac]1[Cys],400,400,100,405.2122
3[Ph]1[Ac]1[Me1]1[Cys],400,200,400,415.1453
2[Ph]2[Ac]1[Cys],400,400,100,363.1755
3[Ph]1[Ox]1[Cys],400,200,400,375.0814
1[Ac]1[Ox],400,400,100,58.0361
1[Ac]1[Me1]1[Ox],400,200,400,72.0627
1[Cys],400,400,100,119.1423
1[Ox]1[Cys],400,200,400,135.1417
