"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
,43772.107645061675,0.0,1.316599749745384,43769.31547844631,43773.28828105968,43772.48244492816,43771.4692491332,43773.316360493394,43773.41191207233,43770.59802927943,43773.295327432395,43773.4492111532,43771.38790187374,43771.22185871494,43772.378525044216,43770.40061060194,43772.23825139164,43773.36123430058,0.11122327728733097,0.1278847671799213,0.1776730712569496,0.1366905341639949,0.08595483317257428,0.08838983461845774,0.19615917532690616,0.140859814489108,0.13434357984086767,0.0498192581243968,0.10412267738145509,0.14203202384475244,0.14261278369526884,0.09536854376377601,0.0522043624192761
,43783.36219543149,11.254550369812932,0.8674776670738625,43784.27547844631,,,43782.549249133204,,,,,,,43783.26185871494,,,,,0.04845909606485096,,,0.026559669319498845,,,,,,,0.029074185353343274,,,,
"(0, 0, 0, 1, 0, 0)",43787.90629308317,15.798648021496774,1.1243926087037803,,43788.36828105968,,,,,43786.59802927943,,,,,,43787.460610601935,43789.19825139164,,,0.02446704679909195,,,,,0.07633723357206246,,,,,,0.055790875431577375,0.027362616635355032,
"(0, 0, 0, 1, 1, 1)",43791.287901873744,19.180256812069274,,,,,,,,,,,43791.287901873744,,,,,,,,,,,,,,,0.01972000790218261,,,,,
"(0, 1, 1, 0, 0, 0)",43828.7953079667,56.6876629050239,0.4926877464231162,43829.355478446305,,,,,,,,43828.429211153205,,,,,,43828.601234300586,0.015777201930684378,,,,,,,,0.030912070279757158,,,,,,0.016721024960338594
"(0, 1, 0, 1, 0, 0)",43831.36021220183,59.25256714015268,0.6733547268873504,,43831.36828105968,43831.52244492816,,,43832.37191207233,,,,,43830.26185871494,43831.378525044216,,43831.258251391635,,,0.013792704438571371,0.06133582060111676,,,0.021645457894705143,,,,,0.04556676646210556,0.03591482999667589,,0.05221612850533821,
"(1, 0, 0, 0, 1, 0)",43834.4127858233,62.30514076162217,1.437442486695566,,,,,43833.39636049339,,,,43835.429211153205,,,,,,,,,,,0.01415731428962777,,,,0.019802725554799325,,,,,,
"(0, 2, 0, 0, 1, 0)",43839.85215182155,67.74450675987464,0.49456023148270634,,,43839.50244492816,,,,,,,,43840.201858714936,,,,,,,0.01948638591324115,,,,,,,,0.013650603408291011,,,,
"(1, 0, 0, 0, 0, 0)",43850.022253866926,77.91460880525119,0.5151558037676041,43850.29547844631,,,43850.4892491332,,,43849.57802927943,,,43850.38790187374,,,43849.36061060194,,,0.13543514479894728,,,0.16835600460571817,,,0.223304332137594,,,0.04773252103432975,,,0.16082596330703638,,
"(1, 0, 0, 0, 0, 0)",43853.000340659055,80.89269559738023,0.8374320130948718,,43854.26828105968,43853.46244492816,,43854.29636049339,43852.351912072336,,43852.255327432395,43853.389211153204,,43852.22185871494,43852.298525044214,,43853.19825139164,43852.26123430058,,0.04046017665019492,0.07236764919993918,,0.028517608893905602,0.09803266129477202,,0.036488938579770015,0.06216369062482568,,0.07862171464254454,0.1627787825713424,,0.033199416426805586,0.03256405670833022
