average mass,mass shift,mass std,masses uv-1,masses uv-2,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances uv-1,rel. abundances uv-2,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
43771.22185871494,0.0,,,,,43771.22185871494,,,,,0.10412267738145509,
43772.23825139164,0.0,,,,,,43772.23825139164,,,,,0.09536854376377601
43773.29998966182,0.0,0.014608762332106229,43773.316360493394,43773.28828105968,43773.295327432395,,,0.08595483317257428,0.1278847671799213,0.140859814489108,,
43783.26185871494,12.040000000000873,,,,,43783.26185871494,,,,,0.029074185353343274,
43788.36828105968,15.080000000001746,,,43788.36828105968,,,,,0.02446704679909195,,,
43789.19825139164,16.959999999999127,,,,,,43789.19825139164,,,,,0.027362616635355032
43830.26185871494,59.04000000000087,,,,,43830.26185871494,,,,,0.04556676646210556,
43831.313266225654,58.54999999999927,0.07780272440644591,,43831.36828105968,,,43831.258251391635,,0.013792704438571371,,,0.05221612850533821
43833.39636049339,60.07999999999447,,43833.39636049339,,,,,0.01415731428962777,,,,
43840.201858714936,68.97999999999593,,,,,43840.201858714936,,,,,0.013650603408291011,
43852.238593073664,79.97999999999956,0.023665957069711318,,,43852.255327432395,43852.22185871494,,,,0.036488938579770015,0.07862171464254454,
43853.19825139164,80.95999999999913,,,,,,43853.19825139164,,,,,0.033199416426805586
43854.28232077653,80.97999999999956,0.019855157987247792,43854.29636049339,43854.26828105968,,,,0.028517608893905602,0.04046017665019492,,,
43869.13532743239,95.83999999999651,,,,43869.13532743239,,,,,0.015069845923657206,,
43870.22185871494,99.0,,,,,43870.22185871494,,,,,0.03486599486175551,
43872.218251391634,99.97999999999593,,,,,,43872.218251391634,,,,,0.019941598514395545
43909.24185871494,138.0199999999968,,,,,43909.24185871494,,,,,0.02293988187772943,
43949.051812513,176.79999999999805,0.03949034801426418,,,43949.09532743239,43949.04185871494,43949.01825139164,,,0.13789772072690012,0.05537568327715579,0.09884311476305391
43950.09232077654,176.79000000000087,0.005713022365780588,43950.09636049339,43950.08828105968,,,,0.10418584629175869,0.14865106617384025,,,
43967.078251391635,194.8399999999965,,,,,,43967.078251391635,,,,,0.015690984402595986
44007.00185871494,235.77999999999884,,,,,44007.00185871494,,,,,0.02530652404050585,
44009.01678941202,236.25,0.0020675514068237786,,,44009.0153274324,,44009.01825139164,,,0.0470140877953066,,0.0916021376062211
44010.09232077653,236.78999999999724,0.03399729361385987,44010.11636049339,44010.06828105968,,,,0.04236725111184066,0.05894246682431217,,,
44026.94185871494,255.72000000000116,,,,,44026.94185871494,,,,,0.08632520950952176,
44027.95825139163,255.7199999999939,,,,,,44027.95825139163,,,,,0.09889186318099016
44030.015843962894,256.7099999999991,0.0007304844348124063,44030.01636049339,,44030.0153274324,,,0.1501504160276294,,0.1480937534095661,,
44031.06828105968,257.77999999999884,,,44031.06828105968,,,,,0.0995320044690613,,,
44032.981858714935,261.75999999999476,,,,,44032.981858714935,,,,,0.04700070605409851,
44034.99825139163,262.75999999999476,,,,,,44034.99825139163,,,,,0.016540907919866264
44045.95825139163,273.7199999999939,,,,,,44045.95825139163,,,,,0.057974292808925
44047.025843962896,273.7199999999975,0.04315689130950377,44047.05636049339,,44046.99532743239,,,0.04419792373706381,,0.06767797546098477,,
