,mass mean,mass std,nutlin_7hr_rep1_ms1_01,nutlin_7hr_rep1_ms1_02,nutlin_7hr_rep2_ms1_01,uv_7hr_rep1_ms1_01,uv_7hr_rep1_ms1_02,uv_7hr_rep2_ms1_01,xray-nutlin_7hr_rep1_ms1_01,xray-nutlin_7hr_rep1_ms1_02,xray-nutlin_7hr_rep2_ms1_01,xray_2hr_rep1_ms1_01,xray_2hr_rep1_ms1_02,xray_7hr_rep1_ms1_01,xray_7hr_rep1_ms1_02,xray_7hr_rep2_ms1_01
0,13555.99741056902,0.5751854739750081,,13555.687854091157,,,,,13556.661079188812,,,,,,13555.643298427094,
1,13653.603818446625,0.021879568711862748,,,,13653.61928963803,,13653.58834725522,,,,,,,,
2,13689.221084316247,0.6694563098354264,13689.688247157563,,13689.691928798187,13688.75928963803,13688.723530854752,13689.728347255219,,13689.7031446185,13687.71897225522,13688.73485116147,13689.728493739594,13689.724619227876,13689.743298427093,13688.70828866147
3,13702.787854091155,,,13702.787854091155,,,,,,,,,,,,
4,13717.524142543305,0.5317399197408758,,13717.807854091156,,13717.739289638032,,13716.728347255219,13717.821079188812,,,,,,,
5,13733.775576259124,0.04564774782290315,,13733.807854091156,,,,,,,,,,,13733.743298427093,
6,13743.782302333346,0.9112252269784251,,13743.567854091158,13744.491928798187,,,13744.48834725522,13742.581079188813,,,,,,,
7,13758.838710362495,0.6186951323314444,13758.508247157562,13758.587854091156,13759.531928798187,13758.579289638032,13759.543530854751,13758.548347255219,13759.621079188812,13757.523144618499,13758.538972255219,13758.554851161469,13758.548493739594,13759.544619227876,13758.563298427094,13759.54828866147
8,13773.692201608723,0.6773909511386966,13774.528247157563,13772.587854091156,,13773.579289638032,13773.52353085475,,,13773.523144618499,,13774.554851161469,13773.548493739594,,,
9,13782.694851161468,,,,,,,,,,,13782.694851161468,,,,
10,13788.402851242849,1.0016860074864158,,,,,,13789.58834725522,,13787.5431446185,13787.558972255218,13788.59485116147,13787.548493739594,,13789.583298427093,
11,13790.641079188812,,,,,,,,13790.641079188812,,,,,,,
12,13804.334896647188,0.4420595680464135,13804.528247157563,13804.607854091157,13804.531928798187,13804.579289638032,13803.543530854751,13804.56834725522,13804.621079188812,13804.5431446185,13804.558972255218,13803.57485116147,13804.548493739594,13803.564619227876,13804.583298427093,
13,13818.028710362498,0.887092476987797,13817.768247157563,13818.867854091157,13818.771928798189,13818.839289638032,13817.803530854751,13819.78834725522,13816.881079188814,13817.803144618501,13817.79897225522,13818.814851161469,13816.808493739594,13817.804619227874,13817.843298427095,13816.808288661468
14,13829.105952235688,0.5229538111682012,,,13828.771928798189,,,,,,13829.538972255219,,,13829.564619227876,,13828.54828866147
15,13832.397202584458,0.5372966485064706,,13832.867854091157,13832.791928798188,,,,13831.881079188814,13831.803144618501,,,13831.788493739594,13832.804619227874,13832.843298427095,
16,13846.065293056,0.6867019242407112,13845.808247157562,13845.887854091157,13845.811928798188,,,,13846.901079188814,13845.8231446185,13844.81897225522,,13845.828493739595,13846.844619227875,13846.863298427095,
17,13856.908738293823,0.5011653171262358,13856.488247157562,13856.587854091156,13857.491928798187,13857.539289638033,13856.50353085475,,13856.581079188813,13856.5031446185,13857.518972255219,13856.514851161468,13857.508493739595,13857.524619227876,13856.543298427094,13856.50828866147
18,13860.84476571225,1.0229130962336,,13861.887854091157,,,,,,13860.803144618501,,,,,13859.843298427095,
19,13872.23728179107,0.45907393347287934,13872.488247157562,13871.567854091158,13872.491928798187,13872.559289638031,13872.50353085475,13872.508347255218,13871.581079188813,13872.5031446185,13871.49897225522,13872.534851161468,13871.508493739595,13872.524619227876,13872.543298427094,13872.50828866147
20,13886.737961074157,0.42684167150612773,13886.488247157562,13886.587854091156,13887.511928798187,13887.579289638032,13886.52353085475,,,13886.523144618499,13886.518972255219,13886.554851161469,13886.528493739594,,13886.563298427094,
21,13900.182761388298,1.1263870963678901,,13899.887854091157,13901.491928798187,,13898.82353085475,,13898.881079188814,13900.8231446185,,,13901.508493739595,,13899.863298427095,
22,13902.563268276448,0.46130292046547555,13902.488247157562,,,13902.559289638031,13901.82353085475,13902.528347255218,,,13902.518972255219,13902.534851161468,,13902.524619227876,,13903.52828866147
