,mass mean,mass shift,mass std,nutlin_7hr_rep1_ms1_01,uv_7hr_rep1_ms1_01,xray-nutlin_7hr_rep1_ms1_01,xray_2hr_rep1_ms1_01,xray_7hr_rep1_ms1_01
0,43770.44584186522,0.0,0.88511595684548,43769.31547844631,43771.4692491332,43770.59802927943,,43770.40061060194
1,43783.42675386286,12.98091199764167,0.18565147450422592,43783.29547844631,,43783.558029279426,,
2,43837.57802927943,67.1321874142086,,,,43837.57802927943,,
3,43850.43084186522,79.98500000000058,0.9097927574176062,43850.29547844631,43850.4892491332,43851.57802927943,,43849.36061060194
4,43867.01025386692,96.5644120017023,1.2471202069581793,43865.23547844631,43868.5092491332,43867.558029279426,43867.36790187374,43866.38061060193
5,43910.57802927943,140.1321874142086,,,,43910.57802927943,,
6,43928.983639206315,158.53779734109412,2.0444011645039124,,43930.4292491332,43927.53802927943,,
7,43933.215478446305,162.76963658108434,,43933.215478446305,,,,
8,43947.87266468318,177.42682281795715,2.003033653802865,43948.23547844631,43947.3892491332,43945.51802927943,43950.34790187374,
9,43961.175478446305,190.72963658108347,,43961.175478446305,,,,
17,43969.4892491332,199.04340726797818,,,43969.4892491332,,,
10,44003.46225386692,233.0164120016998,0.747694150314447,44004.11547844631,44004.2892491332,44002.45802927943,44003.26790187374,44003.180610601936
11,44023.23236378976,252.78652192453592,1.5512301290696702,44022.13547844631,44024.3292491332,,,
12,44028.39802927943,257.9521874142083,,,,44028.39802927943,,
18,44043.4492491332,273.0034072679773,,,44043.4492491332,,,
13,44106.773639206316,336.327797341095,0.7415995533727313,,44106.2492491332,44107.29802927943,,
14,44122.273639206316,351.827797341095,0.03449277218618374,,44122.2492491332,44122.29802927943,,
15,44187.29363920631,416.8477973410918,1.3797207901869113,,44188.2692491332,44186.31802927943,,
16,44204.32363920631,433.8777973410906,1.365578654565444,,44205.2892491332,44203.35802927943,,
