"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_7hr,masses uv_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances nutlin_7hr,rel. abundances uv_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
,43770.4482228682,0.0,0.7761832050532348,43769.28279400959,43770.48303670478,43770.59674310024,43771.461808154614,43770.4167323718,0.08932880960984191,0.09582977522145504,0.1421213746186105,0.04340354712537997,0.13909102630774342
"[0, 0, 0, 1, 0, 0]",43786.04422286821,15.596000000005006,1.2473584724454063,43784.302794009585,43786.50303670478,43787.61674310025,43786.38180815461,43785.4167323718,0.043363239465026654,0.04150930768532321,0.07035223439602623,0.012711927449903793,0.05278905542386519
"[0, 0, 0, 1, 0, 2]",43830.69609549231,60.24787262410973,0.9068719208439011,43830.342794009586,43831.48303670478,43829.576743100246,43831.38180815461,,0.029423236610714328,0.01835795014912161,0.035091137050985655,0.010514402420145237,
"[1, 0, 0, 0, 0, 0]",43849.9248265466,79.47660367839853,1.0450067501507248,43849.28279400959,43851.48303670478,43849.55674310024,,43849.3767323718,0.11481361180903617,0.12420267668008049,0.16356523931523892,,0.14925957347273358
"[0, 0, 0, 1, 0, 3]",43852.40180815461,81.95358528640645,,,,,43852.40180815461,,,,,0.04706066663254207,
"[1, 0, 0, 1, 0, 0]",43865.72542316054,95.27720029233751,0.5854859301303573,43865.24279400959,,43865.55674310024,,43866.3767323718,0.10852637745130728,,0.11002234319370241,,0.12219541122361534
"[0, 2, 1, 0, 0, 0]",43868.4524224297,98.00419956149562,0.04329512302756846,,43868.48303670478,,43868.42180815461,,,0.09551280739140701,,0.06887374192298781,
"[1, 0, 0, 2, 0, 0]",43882.26976319069,111.82154032248945,1.376073380683863,43883.24279400959,,,,43881.296732371804,0.03977791410523517,,,,0.031811507788626264
"[1, 1, 0, 0, 0, 0]",43890.4824224297,120.03419956149446,1.4699133887112317,,43889.44303670478,,43891.52180815461,,,0.028020270299110642,,0.01836818016105983,
"[1, 1, 1, 0, 0, 0]",43906.70752102872,136.2592981605194,1.5532168068115364,43906.302794009585,43908.42303670478,,,43905.3967323718,0.032994445491628034,0.01548125451230165,,,0.03378074151312841
