"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_7hr,masses uv_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances nutlin_7hr,rel. abundances uv_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
,43770.45825386692,0.0,0.767035189367692,43769.31547844631,43771.4692491332,43770.59802927943,43770.50790187374,43770.40061060194,0.11168553577570907,0.13664579854936157,0.18260528088140446,0.04987785713066745,0.14190623282588094
"(0, 0, 1, 0, 0, 0)",43784.27547844631,14.959999999999127,,43784.27547844631,,,,,0.04949804700613869,,,,
"(0, 0, 0, 1, 0, 0)",43787.19596300486,17.0,0.5814649716211534,,43786.5292491332,43787.59802927943,,43787.460610601935,,0.03393598287393373,0.0640048689446968,,0.05509840086190833
"(0, 0, 0, 0, 0, 1)",43791.287901873744,20.780000000006112,,,,,43791.287901873744,,,,,0.0202660219761977,
"(0, 1, 0, 1, 0, 0)",43828.355478446305,59.0399999999936,,43828.355478446305,,,,,0.015980436460962654,,,,
"(1, 0, 0, 0, 0, 0)",43850.20894772207,80.04000000000087,0.9730608577824181,,43851.5092491332,43849.57802927943,43850.38790187374,43849.36061060194,,0.16281393597406818,0.22774431607066511,0.04848241900057931,0.1596599658566854
"(0, 0, 0, 1, 0, 3)",43851.29547844631,81.97999999999593,,43851.29547844631,,,,,0.13301925332693768,,,,
"(1, 0, 0, 1, 0, 0)",43866.810253866926,97.04000000000087,1.2171364362106523,43865.23547844631,43868.5092491332,43866.558029279426,43867.36790187374,43866.38061060193,0.10258006593007925,0.12100403138339388,0.14322712690335807,0.08442090094059347,0.1338723945965013
"(1, 1, 0, 0, 1, 0)",43873.27547844631,103.95999999999913,,43873.27547844631,,,,,0.04032637625792324,,,,
"(0, 2, 0, 0, 0, 1)",43877.467901873744,106.9600000000064,,,,,43877.467901873744,,,,,0.016530636224685202,
"(1, 0, 2, 0, 0, 0)",43879.40492986757,108.88000000000466,0.17581399151723412,,43879.5292491332,,,43879.28061060194,,0.016798999377335373,,,0.04121527982866489
"(0, 2, 1, 1, 0, 0)",43883.23547844631,113.91999999999825,,43883.23547844631,,,,,0.01760514381288519,,,,
"(1, 1, 0, 1, 1, 0)",43890.18790187374,119.68000000000029,,,,,43890.18790187374,,,,,0.021501209536325692,
"(1, 0, 0, 1, 0, 2)",43910.57802927943,139.9800000000032,,,,43910.57802927943,,,,,0.04798359610358967,,
"(1, 1, 0, 2, 0, 0)",43924.20061060194,153.8000000000029,,,,,,43924.20061060194,,,,,0.018381678380686127
"(2, 0, 0, 1, 1, 0)",43927.25547844631,157.93999999999505,,43927.25547844631,,,,,0.03941689951035417,,,,
"(2, 0, 1, 0, 1, 0)",43927.53802927943,156.94000000000233,,,,43927.53802927943,,,,,0.052326978368973265,,
"(2, 0, 0, 0, 0, 0)",43930.92857550347,160.92000000000553,0.7061541248875864,,43930.4292491332,,43931.42790187374,,,0.026788161916885295,,0.0183130994587427,
"(0, 4, 0, 0, 0, 0)",43937.215478446305,167.89999999999418,,43937.215478446305,,,,,0.03457082176199264,,,,
"(2, 0, 0, 1, 0, 0)",43946.389296338195,175.91999999999825,0.9422239379896394,,43947.3892491332,43945.51802927943,,43946.26061060194,,0.09242488374515237,0.061398642251360956,,0.06331609024828282
"(1, 2, 1, 0, 0, 0)",43948.78169016003,178.91999999999825,0.7724600134665357,43948.23547844631,,,43949.327901873745,,0.07927688485982588,,,0.07562968357587632,
"(2, 0, 0, 2, 0, 0)",43961.25804452412,191.39999999999782,0.1167660670412045,43961.175478446305,,,,43961.34061060194,0.05940320566866395,,,,0.03437704145888441
"(2, 0, 1, 0, 0, 1)",43966.38790187374,195.88000000000466,,,,,43966.38790187374,,,,,0.05781848946778034,
"(2, 0, 0, 1, 0, 1)",43969.4892491332,198.0199999999968,,,43969.4892491332,,,,,0.03813771119607377,,,
"(2, 0, 1, 1, 0, 1)",43983.34790187374,212.84000000000378,,,,,43983.34790187374,,,,,0.010738604366887623,
"(2, 1, 1, 1, 0, 0)",44002.69425623784,232.77999999999884,0.6878089378249932,,,,44002.20790187374,44003.180610601936,,,,0.07658906814513784,0.13936981452051359
"(2, 1, 0, 2, 0, 0)",44004.20236378975,233.80999999999767,0.12287443107510779,44004.11547844631,44004.2892491332,,,,0.12832325058637437,0.1348888565204495,,,
"(1, 4, 0, 0, 0, 0)",44019.160610601946,248.7600000000093,,,,,,44019.160610601946,,,,,0.03615195406714623
"(3, 0, 1, 0, 0, 0)",44023.26420981775,252.86000000000058,1.098271353156452,44022.13547844631,44024.3292491332,,44023.327901873745,,0.04840337803545625,0.0567168228760594,,0.026770054129498778,
"(2, 2, 1, 0, 0, 0)",44028.39802927943,257.8000000000029,,,,44028.39802927943,,,,,0.06427803815467582,,
"(3, 0, 0, 0, 0, 1)",44031.180610601936,260.77999999999884,,,,,,44031.180610601936,,,,,0.04099814751079826
"(3, 1, 0, 0, 1, 0)",44035.26790187374,264.76000000000204,,,,,44035.26790187374,,,,,0.010093501965682731,
"(3, 0, 0, 2, 0, 0)",44043.4492491332,271.9799999999959,,,44043.4492491332,,,,,0.022416385441146183,,,
"(3, 0, 0, 1, 0, 1)",44048.211690160024,278.74000000000524,1.465424659031616,44047.175478446305,,,44049.24790187374,,0.027286573087411715,,,0.05662285236101623,
"(3, 1, 0, 0, 0, 0)",44053.28061060194,282.88000000000466,,,,,,44053.28061060194,,,,,0.02259483306989047
"(3, 1, 0, 1, 0, 0)",44069.327901873745,298.820000000007,,,,,44069.327901873745,,,,,0.05553586878172869,
"(4, 0, 1, 0, 0, 0)",44105.150876484426,334.77999999999884,1.1173455284720184,44104.01547844631,44106.2492491332,,44105.18790187374,,0.02293049281511666,0.04256022161299151,,0.02744736107630907,
"(4, 0, 0, 1, 0, 0)",44107.29802927943,336.70000000000437,,,,44107.29802927943,,,,,0.056307862256223265,,
