"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses uv-1,masses uv-2,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances uv-1,rel. abundances uv-2,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
,43772.67370792224,0.0,0.9255946934063196,43773.31571182304,43773.28758960641,43773.284047328256,43771.22875054496,43772.25244030854,0.06928483957318589,0.12110957406144907,0.11066659446445555,0.09412943825409756,0.08033461578661874
"(0, 0, 0, 1, 1, 1)",43791.25244030854,19.0,,,,,,43791.25244030854,,,,,0.02462073385850518
"(0, 1, 0, 1, 0, 0)",43831.0502375012,59.04000000000087,0.9871458522586446,43832.35571182304,,43830.32404732825,43830.24875054495,43831.272440308545,0.01692012183217964,,0.01782708223596844,0.052634798032117125,0.039287088652740464
"(0, 0, 1, 2, 0, 1)",43840.272440308545,68.02000000000407,,,,,,43840.272440308545,,,,,0.01269166653609306
"(1, 0, 0, 0, 0, 0)",43852.81770792224,80.95999999999913,1.1691621299924329,43854.27571182304,43853.22758960641,43852.24404732825,43851.16875054496,43853.17244030854,0.020900967294984456,0.021867956956081132,0.02298560456344829,0.07146255478589038,0.028479765275918587
"(0, 2, 1, 0, 0, 0)",43870.998206947035,99.0,1.2920339722476242,,43872.28758960641,43871.34404732825,43869.20875054495,43871.15244030854,,0.018446655221732736,0.025866564571195218,0.044325191925924205,0.022183949700174767
"(1, 1, 0, 1, 0, 0)",43909.22875054496,138.0,,,,,43909.22875054496,,,,,0.019142085387388576,
"(2, 0, 0, 1, 0, 0)",43949.25770792224,176.79999999999563,0.8605918893865105,43950.095711823036,43950.067589606406,43949.10404732825,43948.02875054495,43948.99244030854,0.08554085069270242,0.1385320763186823,0.1090324455895638,0.05250792714062458,0.08215470176821565
"(2, 0, 0, 1, 0, 1)",43970.052440308544,197.8000000000029,,,,,,43970.052440308544,,,,,0.017791372222765073
"(3, 0, 1, 0, 1, 0)",44008.81320694704,236.8000000000029,0.958133240870368,,44010.08758960641,44008.12404732825,44008.02875054495,44009.01244030854,,0.07542415750726394,0.04965131308143914,0.03915536903481973,0.08379829984247332
"(3, 0, 0, 1, 1, 0)",44011.13571182304,237.8199999999997,,44011.13571182304,,,,,0.045019542702683026,,,,
"(3, 0, 0, 1, 0, 0)",44028.99370792224,256.7099999999991,1.0300916328347791,44030.015711823035,44029.04758960641,44030.00404732826,44027.94875054496,44027.952440308545,0.13075478031532936,0.09559765030387826,0.12186645155896732,0.10456604339955075,0.09007781172807652
"(3, 0, 0, 2, 0, 0)",44045.98407606579,273.2000000000007,0.04473971695133785,44046.015711823035,,,,44045.952440308545,0.04665657331317331,,,,0.06651496304516619
"(2, 2, 1, 1, 0, 0)",44046.98404732825,273.6999999999971,,,,44046.98404732825,,,,,0.06058794032618675,,
"(3, 0, 1, 0, 0, 1)",44047.99817007568,275.7400000000016,0.041605499355283765,,44048.02758960641,,44047.968750544955,,,0.08239252315253058,,0.04976528567069494,
"(3, 1, 1, 0, 0, 0)",44067.99244030854,295.73999999999796,,,,,,44067.99244030854,,,,,0.03316023028032332
"(4, 0, 1, 0, 1, 0)",44087.000595426754,315.26000000000204,0.016751192475034562,,,,44086.98875054496,44087.01244030854,,,,0.06293536847858301,0.060116777853673684
"(3, 1, 0, 2, 0, 0)",44088.05578291923,314.76000000000204,0.02510303319536094,44088.07571182304,44088.02758960641,44088.064047328255,,,0.05896137486957459,0.027142123225186773,0.05018710277223925,,
"(4, 0, 1, 0, 0, 0)",44106.00970792224,333.72000000000116,0.7320264805482423,44107.015711823035,44106.04758960641,44106.064047328255,44104.94875054496,44105.97244030854,0.08020939081283882,0.06076224986196275,0.06920756118378425,0.08596120163644538,0.06047799643649881
"(3, 2, 0, 0, 0, 1)",44120.02758960641,346.74000000000524,,,44120.02758960641,,,,,0.026853787320750104,,,
"(4, 0, 1, 1, 0, 0)",44121.94875054496,350.72000000000116,,,,,44121.94875054496,,,,,0.060194251418666266,
"(4, 0, 0, 2, 0, 0)",44124.97571182303,351.6599999999962,,44124.97571182303,,,,,0.04897366924361279,,,,
"(4, 0, 1, 0, 0, 1)",44128.45581846733,355.6999999999971,0.747028419154571,,44127.92758960641,44128.98404732825,,,,0.04867027489946061,0.06640807889294185,,
"(4, 0, 0, 1, 0, 1)",44130.912440308544,358.6600000000035,,,,,,44130.912440308544,,,,,0.04819766365626943
"(4, 0, 1, 1, 0, 1)",44146.02758960641,372.74000000000524,,,44146.02758960641,,,,,0.0320770686705419,,,
"(4, 1, 1, 0, 0, 0)",44146.90875054496,375.6800000000003,,,,,44146.90875054496,,,,,0.021268015727757085,
"(4, 1, 0, 1, 0, 0)",44151.44407606579,378.6999999999971,0.808415040634044,44152.015711823035,,,,44150.87244030854,0.014467466928582444,,,,0.02650613185700285
"(5, 0, 0, 0, 1, 0)",44154.02404732825,380.7399999999907,,,,44154.02404732825,,,,,0.021288460365200167,,
"(5, 0, 1, 0, 1, 0)",44167.916398936606,395.72000000000116,1.3684614790723282,,,44168.88404732825,44166.94875054496,,,,0.018035478257125037,0.04447851211806611,
"(5, 0, 0, 0, 0, 0)",44174.055711823035,400.73999999999796,,44174.055711823035,,,,,0.014639172780008602,,,,
"(5, 0, 1, 0, 0, 0)",44186.93370792224,414.6800000000003,0.740832817034487,44187.99571182304,44186.98758960641,44185.90404732825,44186.90875054496,44186.87244030854,0.03312680465628472,0.03932952747554299,0.022193976484218274,0.04487390426990481,0.03028566477122634
"(5, 0, 0, 2, 0, 0)",44205.097707922236,432.65000000000146,0.8707630708086442,44205.89571182304,44204.96758960641,44205.944047328245,44204.84875054496,44203.83244030854,0.053643290936430686,0.05235866552461261,0.06478234132756486,0.04735675383958159,0.053293707473916874
"(4, 3, 0, 0, 0, 0)",44218.89824381839,446.65999999998894,1.478989507211078,,,44219.944047328245,,44217.85244030854,,,0.01879073939249075,,0.02591336568086502
"(5, 0, 0, 3, 0, 0)",44220.90758960641,447.6200000000026,,,44220.90758960641,,,,,0.04119404881087064,,,
"(4, 2, 0, 0, 0, 2)",44221.875711823035,448.5599999999977,,44221.875711823035,,,,,0.014075898009430949,,,,
"(5, 0, 1, 1, 0, 1)",44222.88875054495,451.6599999999962,,,,,44222.88875054495,,,,,0.014928073428631405,
"(6, 0, 1, 1, 1, 0)",44263.79244030854,491.5400000000009,,,,,,44263.79244030854,,,,,0.014776049335933414
"(6, 0, 1, 0, 0, 0)",44266.89165071472,494.5599999999977,1.3916725655797821,44267.875711823035,44265.90758960641,,,,0.02363622729502288,0.013389218115105937,,,
"(6, 0, 0, 1, 0, 0)",44267.876398936605,495.6399999999994,1.4815985640697902,,,44268.924047328255,44266.828750544955,,,,0.020333999411081938,0.01799434541768729,
"(5, 2, 1, 0, 0, 0)",44270.81244030854,498.5599999999977,,,,,,44270.81244030854,,,,,0.010999483638431961
"(5, 2, 1, 1, 0, 0)",44285.76841272725,513.5133333333337,0.0158062175873365,,,44285.784047328256,44285.76875054496,44285.75244030854,,,0.023559246382740283,0.022841844688914512,0.028512427763580518
"(6, 0, 1, 0, 0, 1)",44287.831650714725,514.5300000000025,0.02254099679331296,44287.81571182304,44287.84758960641,,,,0.04590446852001108,0.02930557533133071,,,
"(5, 2, 0, 0, 0, 2)",44301.81571182304,528.5,,44301.81571182304,,,,,0.019242162959846893,,,,
"(4, 5, 0, 0, 0, 0)",44302.7982438184,530.0299999999952,0.0082074023418243,,,44302.804047328245,,44302.79244030854,,,0.020324638750437843,,0.013529056284529686
"(6, 0, 1, 1, 0, 1)",44304.76758960641,531.4800000000032,,,44304.76758960641,,,,,0.02217636423229316,,,
