"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses uv_7hr,masses nutlin_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances uv_7hr,rel. abundances nutlin_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
,43772.67201581841,0.0,0.9320122690424295,43773.316360493394,43773.28828105968,43773.295327432395,43771.22185871494,43772.23825139164,0.08595483321367763,0.12788476719591302,0.1408598144955931,0.10412267745632947,0.09536854381933126
,43783.26185871494,10.589842896530172,,,,,43783.26185871494,,,,,0.02907418542955689,
"(0, 0, 0, 1, 0, 0)",43788.783266225655,16.11125040724437,0.5868776499105551,,43788.36828105968,,,43789.19825139164,,0.024467046753476725,,,0.027362616651324556
"(0, 1, 0, 1, 0, 0)",43831.57118791491,58.89917209649866,1.3146226777573018,43833.39636049339,43831.36828105968,,43830.26185871494,43831.258251391635,0.014157314282382986,0.013792704418117276,,0.04556676644511295,0.05221612850568894
"(0, 2, 0, 0, 1, 0)",43840.201858714936,67.52984289652522,,,,,43840.201858714936,,,,,0.013650603567072232,
"(1, 0, 0, 0, 0, 0)",43853.248015818404,80.57599999999366,1.022359140787901,43854.29636049339,43854.26828105968,43852.255327432395,43852.22185871494,43853.19825139164,0.02851760890648535,0.040460176657712954,0.03648893858144994,0.07862171467237977,0.03319941645623096
"(1, 0, 0, 1, 0, 0)",43869.678593073666,97.00657725525525,0.7682936378610741,,,43869.13532743239,43870.22185871494,,,,0.01506984592435101,0.03486599504524253,
"(1, 0, 0, 0, 0, 1)",43872.218251391634,99.54623557322338,,,,,,43872.218251391634,,,,,0.019941598524510044
"(1, 1, 1, 0, 0, 0)",43909.24185871494,136.5698428965261,,,,,43909.24185871494,,,,,0.02293988192886706,
"(2, 0, 0, 1, 0, 0)",43949.46801581841,176.7960000000021,0.5706006812147713,43950.09636049339,43950.08828105968,43949.09532743239,43949.04185871494,43949.01825139164,0.10418584636452251,0.1486510661508212,0.13789772061917846,0.0553756833170675,0.09884311483417418
"(2, 0, 1, 0, 0, 1)",43967.078251391635,194.40623557322397,,,,,,43967.078251391635,,,,,0.01569098440822047
"(2, 1, 0, 2, 0, 0)",44007.00185871494,234.32984289652813,,,,,44007.00185871494,,,,,0.02530652328759274,
"(3, 0, 1, 0, 1, 0)",44009.55455509427,236.88253927585902,0.6212696158677108,44010.11636049339,44010.06828105968,44009.0153274324,,44009.01825139164,0.04236725112561316,0.05894246684935333,0.047014087680770256,,0.09160213728548237
"(3, 0, 1, 0, 0, 0)",44027.45005505328,254.77803923487227,0.7186981540364705,,,,44026.94185871494,44027.95825139163,,,,0.08632520936752815,0.09889186298151106
