PTM pattern,average mass,mass shift,masses nutlin_5,masses nutlin_6,masses uv_5,masses uv_6,raw intensities nutlin_5,raw intensities nutlin_6,raw intensities uv_5,raw intensities uv_6,rel. abundances nutlin_5,rel. abundances nutlin_6,rel. abundances uv_5,rel. abundances uv_6
1[Cys],43773.246061253005,120.69493186059117,43773.410818014694,43772.64713632024,43773.75600570958,43773.1702849675,0.7735471146232176,0.9702304540147912,0.5113598454577749,0.6713011741581741,0.13729249876602984,0.1759070312519325,0.08644540406982773,0.08830012509348882
1[Ox]1[Cys],43788.7561376886,136.20500829618686,43788.7561376886,,,,0.1358484967906336,,,,0.02411098073461196,,,
1[Ph]2[Me3]1[Ox],43832.831105908095,180.27997651568148,,43832.73546301403,,43832.92674880216,,0.3980370917091069,,0.20440903795351478,,0.07216586826456671,,0.02688710271387402
1[Ph]1[Cys],43853.24253901873,200.69140962631354,43853.88611938637,43853.03087986039,43854.1434058632,43851.90975096497,0.26752741849719547,0.4072525138694037,0.1714903221127671,0.749492857747936,0.047481927189135346,0.07383666466890877,0.02899044639657219,0.09858512936285369
1[Ph-OH]1[Cys],43869.288900203974,216.73777081156004,,43869.95134367478,,43868.62645673317,,0.12622346098397386,,0.2460102553766472,,0.02288486637804143,,0.032359151391742835
1[Ph-OH]1[Me3]1[Cys],43911.86356153502,259.3124321426076,,,,43911.86356153502,,,,0.2737137090123044,,,,0.03600314683777763
1[Ph]1[Ph-OH]1[Cys],43950.379873035745,297.8287436433311,43950.295705879085,43950.29102136063,43950.318108093,43950.61465681026,0.8979586652480077,0.7200409726374069,0.6181191397306458,0.5313072850653854,0.15937360066368686,0.13054658236327557,0.10449306740046371,0.06988591937618346
3[Ph-OH]1[Ox],43962.49240337174,309.94127397932607,,43962.49240337174,,,,0.14778896967603963,,,,0.026794787568168495,,
3[Cys],44009.965821105725,357.4146917133112,44009.828653973665,44010.35073513316,44009.68262087143,44010.00127444465,0.35120764797462056,0.4254666952374289,0.24558286664368503,0.2840716671083346,0.06233385745309402,0.07713897553523491,0.041515794265455236,0.03736558895884128
2[Ph]1[Ph-OH]1[Cys],44029.82740443648,377.276275044067,44030.707930643905,44029.35712340602,44029.8751531278,44029.3694105682,0.5943003707784431,0.775068399886077,0.8932444746758069,1.016449656780997,0.10547900881447034,0.14052329596228788,0.1510030172145522,0.13369950076066456
1[Ph]2[Ph-OH]1[Cys],44047.10310941403,394.5519800216134,44047.9220607707,44045.89644827935,44047.84482425986,44046.74910434618,0.479987292205105,0.20804481328715346,0.26017351112672993,0.3240166306795896,0.08519022755954245,0.03771943595593201,0.04398234334860997,0.04261978099063653
2[Ph-OH]2[Cys],44088.22348689642,435.6723575040087,,44088.00430841589,44088.2688411414,44088.39731113197,,0.3675899478449049,0.32206327443689625,0.5779562626510042,,0.06664566771315152,0.05444481052247239,0.07602192913582519
1[Ph-OH]3[Cys],44107.02347200934,454.4723426169294,44105.780321441685,44106.08707580661,44108.288480302035,44107.93801048702,0.35457675668971433,0.30700659630834953,0.5177383606277403,0.8966524577723227,0.06293182148833568,0.055661640703909464,0.08752369233616504,0.1179418824731937
1[Ph-OH]1[Me1]3[Cys],44121.71813208941,469.16700269699504,,44121.71813208941,,,,0.10272563684409974,,,,0.018624607933028493,,
2[Ph]2[Ph-OH]1[Cys],44126.53796574106,473.98683634864574,44126.418761934845,,44128.36347421547,44124.83166107284,0.45542969275684747,,0.32800098986288,0.4031411568701823,0.0808316382400169,,0.055448581572957026,0.053027487441252893
1[Ph]1[Ac]3[Cys],44131.543512432734,478.9923830403204,,44131.543512432734,,,,0.10703347011097966,,,,0.01940563697408724,,
1[Ox]4[Cys],44144.72404965332,492.1729202609058,44143.36599504753,,,44146.08210425912,0.16495444248243354,,,0.1390728388697116,0.029276830283313304,,,0.01829305465568672
2[Ph]3[Cys],44169.288420047444,516.7372906550299,,,,44169.288420047444,,,,0.36045492375821786,,,,0.04741272037595922
1[Ph]1[Ph-OH]3[Cys],44187.234913646105,534.6837842536916,44186.35220240051,,44187.64318890824,44187.7093496296,0.21431039478707833,,0.22508635801255675,0.30296744636253753,0.03803673888200577,,0.03805085859172741,0.03985106006497692
2[Ph-OH]3[Cys],44205.49761185673,552.9464824643146,44204.08049001637,44204.11344686286,44207.091030574666,44206.70547997302,0.38051279874344746,0.2049245334864827,0.37045544310507506,0.25692861007414725,0.0675350627833307,0.03715371556018467,0.06262550873625382,0.03379530571817214
2[Ph-OH]1[Ox]3[Cys],44222.07406258591,569.522933193497,44222.07406258591,,,,0.2094304529194447,,,,0.03717062562248347,,,
1[Me1]5[Cys],44262.989000296846,610.4378709044322,44262.989000296846,,,,0.09827666722577674,,,,0.017442569377815506,,,
