"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
,35857.51431172835,0.0,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,35857.514311728344,0.22923901966348795,0.2250322287203077,0.3948849127884374,0.24404730313066378,0.20875508579123608,0.2769802321118724,0.3758306774834425,0.25841065876659264,0.29953945447889424,0.08210820511914056,0.3467983067943768,0.319950504429117,0.2505468535012365,0.3108379149169146,0.21087507183783014
,35862.54431172834,5.02999999999156,,,35862.53431172834,,,,,,,,,,35862.55431172834,,,,,0.03438814454643908,,,,,,,,,,0.03624023048683349,,
,35870.57431172834,13.059999999990396,,,,,,,,,,,,,35870.57431172834,,,,,,,,,,,,,,,0.027478661351019264,,
"(0, 0, 0, 1, 0, 0)",35873.249311728345,15.734999999993306,,,,35873.514311728344,,,35872.514311728344,35872.45431172834,,,,,,35874.514311728344,,,,,0.038496648401554465,,,0.06455775448704935,0.02515408353728849,,,,,,0.03565201698770277,
"(0, 0, 0, 0, 0, 1)",35878.054311728345,20.539999999993597,35878.594311728346,,,,,,,,,,35877.514311728344,,,,,0.023046505482235503,,,,,,,,,,0.03717130415998682,,,,
"(0, 1, 2, 0, 0, 0)",35927.414311728346,69.89999999999418,,,,,,,35927.414311728346,,,,,,,,,,,,,,,0.03473414843085644,,,,,,,,
"(1, 0, 0, 0, 0, 0)",35937.61697839501,80.10266666665848,35937.45431172835,35936.49431172835,35937.49431172835,35937.47431172834,35937.47431172834,35937.514311728344,35938.47431172834,35937.49431172834,35937.47431172834,35939.43431172834,35936.47431172834,35937.514311728344,35937.49431172834,35937.49431172835,35938.49431172835,0.20983784651019105,0.057390339248197884,0.17252526653197145,0.2859446570330057,0.1440474164208599,0.32251451032602024,0.3243454142041177,0.09142470494744444,0.13903455709335807,0.07616074032442624,0.20017078783511516,0.2562144559187395,0.28989959489247524,0.07881641033489714,0.11277869454140181
"(1, 0, 0, 1, 0, 0)",35955.00969634373,97.49538461538032,35952.414311728346,35955.53431172835,35956.43431172834,35954.43431172834,35955.45431172834,35953.45431172834,35953.49431172834,35957.514311728344,,35955.45431172835,35955.47431172834,35956.53431172835,35954.47431172834,35954.45431172835,,0.13354902059182489,0.05309496052520561,0.04553017367992973,0.1509824665303487,0.04786418816877143,0.05924703459275555,0.1213720993802094,0.04837049700003561,,0.12480827152581342,0.09445073228874393,0.07631645912690525,0.16454437388874418,0.04224723471860426,
"(1, 0, 0, 0, 0, 1)",35959.43431172834,101.91999999999098,35959.43431172834,,,,,,,,,,,,,,,0.04011090710970317,,,,,,,,,,,,,,
"(1, 0, 1, 0, 0, 1)",35972.414311728346,114.89999999999418,,,,,,,,,,35972.414311728346,,,,,,,,,,,,,,,0.026659490335163922,,,,,
"(1, 0, 0, 1, 0, 1)",35976.444311728344,118.92999999999302,,,,35975.45431172835,,35977.43431172834,,,,,,,,,,,,,0.03140821143069409,,0.027628527295234632,,,,,,,,,
"(2, 0, 0, 1, 0, 0)",36035.04046557449,177.52615384614182,36035.414311728346,36035.29431172834,36034.31431172835,36035.43431172834,36034.25431172834,36035.37431172834,,36034.31431172834,36034.25431172834,36036.43431172834,36034.334311728344,36036.554311728345,,36034.25431172834,36035.29431172834,0.08883126879535044,0.17698934769622365,0.20959276411521635,0.138569227483628,0.15743795684399728,0.13050593352086545,,0.17004337161372762,0.21315562525959741,0.10573753130478027,0.11110629067921696,0.12304527237868855,,0.1993637264154533,0.2243789343902514
"(2, 0, 0, 0, 0, 1)",36039.444311728344,181.92999999999302,,,,,,,36038.43431172834,,,,,,36040.45431172835,,,,,,,,,0.07915990601432452,,,,,,0.12137831253130713,,
"(2, 1, 0, 0, 1, 0)",36042.484311728345,184.9699999999939,36042.514311728344,,,,,,,,,,36042.45431172835,,,,,0.06337629068393845,,,,,,,,,,0.025056554137282496,,,,
"(2, 0, 1, 1, 0, 0)",36046.79431172834,189.27999999999156,,,,,,,,,,,,,,36047.29431172834,36046.29431172834,,,,,,,,,,,,,,0.026290330063314257,0.03343093675044082
"(2, 0, 0, 2, 0, 0)",36049.81431172835,192.29999999999563,,,,,,,,,36050.25431172834,,,36049.374311728345,,,,,,,,,,,,0.0343614891422194,,,0.028598892545925937,,,
"(2, 0, 0, 1, 0, 1)",36054.70931172835,197.1949999999997,36055.53431172835,,,36054.47431172834,,,,,,36053.35431172835,,,36055.47431172834,,,0.06185882271884501,,,0.06437631614680853,,,,,,0.11546886591482033,,,0.02762012263845949,,
