PTM pattern,average mass,mass shift,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep5,masses uv_7hr_rep6,raw intensities nutlin_only_rep5,raw intensities nutlin_only_rep6,raw intensities uv_7hr_rep5,raw intensities uv_7hr_rep6,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6
1[Ac]2[Me2]1[Na],43773.24613449911,120.6950051067106,43773.41337798872,43772.64673109016,43773.756101410785,43773.16832750678,0.7733802558631616,0.9702726311178155,0.5113673437966757,0.6714035933566578,0.1345189561659768,0.1741385939272975,0.08645143883128344,0.08705819877133264
1[Ox]1[Cys],43788.75770541812,136.20657602571737,43788.75770541812,,,,0.13502208826127124,,,,0.02348525222173539,,,
1[Ph]2[Ac]1[Ox],43832.831204751994,180.28007535959478,,43832.733641292274,,43832.928768211714,,0.3969986678296216,,0.20484602677382857,,0.07125089133681448,,0.026561558938395954
1[Ph]1[Cys],43851.91229881325,199.3611694208521,,,,43851.91229881325,,,,0.7500186682934658,,,,0.0972518987872278
1[Ph]1[Ac]2[Me2]1[Na],43853.00493226474,200.45380287234002,,43853.00493226474,,,,0.40539549464655816,,,,0.07275790242674679,,
2[Ph]1[Ac],43854.01509098781,201.46396159540745,43853.886804825415,,43854.1433771502,,0.2674757696850209,,0.1714935011445719,,0.04652376507538677,,0.028992582541714846,
1[Ph]1[Ox]1[Cys],43868.633561934985,216.0824325425856,,,,43868.633561934985,,,,0.2452750373583471,,,,0.031803825846737674
1[Ac]2[Me2]1[Cys],43869.881902190944,217.33077279854479,,43869.881902190944,,,,0.1289020777878675,,,,0.023134556062275206,,
2[Cys]1[Na],43911.86284784642,259.31171845402423,,,,43911.86284784642,,,,0.27372591674968566,,,,0.035492936744829943
3[Ph]1[Ac]1[Ox],43950.39636487038,297.84523547798017,43950.295753415536,43950.356470879735,43950.319200060425,43950.61403512583,0.8979259453454741,0.7264726688730718,0.6179921101126461,0.5313421500217813,0.1561819815886182,0.13038286871847957,0.10447735420285655,0.06889699574129451
