"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
,41100.13017053932,0.0,,41100.13017053932,41100.13017053932,,41100.13017053932,41100.13017053932,41100.13017053932,41100.13017053932,41100.13017053932,,41100.13017053932,41100.13017053932,41100.13017053932,41100.13017053932,41100.13017053932,,0.16664942605291724,0.2042994035057833,,0.14448138496522445,0.13341874299667947,0.2203605419286998,0.16674661676877392,0.14986425687290858,,0.181979198507581,0.19995515867438451,0.048360959289711986,0.16242951032658767,0.11490306918829186
,41113.13017053932,13.0,,,,,,41112.150170539324,,,,,,41114.110170539316,,,,,,,,,0.033206989138963236,,,,,,0.06297456723802182,,,
"(0, 0, 0, 1, 0, 0)",41116.13683720599,16.006666666668025,,,,,,,,,41116.13017053932,,41115.13017053932,,,41117.15017053932,,,,,,,,,,0.019336320953303128,,0.052724561733209614,,,0.04179193043909866,
"(0, 1, 0, 1, 0, 0)",41159.36217053932,59.23200000000361,,41160.17017053932,41159.150170539324,,41160.15017053932,41160.150170539324,,41159.17017053932,41159.17017053932,,41159.17017053931,41159.15017053932,,41159.17017053932,41158.17017053932,,0.0675118052908224,0.11340361037844504,,0.07102846080555912,0.0795108754985775,,0.07603310137806635,0.09454577646342503,,0.10827642059363239,0.12362056382115287,,0.08799625374143338,0.05378047407003303
"(0, 1, 2, 0, 0, 0)",41170.870170539325,70.74000000000524,,,,,,,,,,,,,41170.870170539325,,,,,,,,,,,,,,,0.05884046593552747,,
"(1, 0, 0, 0, 0, 0)",41179.02471599387,78.89454545455374,,41180.09017053932,41179.07017053932,,41180.110170539316,41179.09017053932,41178.27017053932,41179.110170539316,41179.11017053932,,41178.110170539316,41178.09017053932,,41180.11017053932,41178.110170539316,,0.05023913005718136,0.12783874188801037,,0.09750611213024879,0.1562286265021313,0.23310126449158328,0.06015288130473287,0.09584348046027728,,0.144450963764051,0.21485270617992208,,0.0749909550402991,0.07742067781021113
"(1, 0, 1, 0, 0, 0)",41194.350170539314,94.21999999999389,,,,,,41195.09017053932,41193.19017053932,,,,,41195.110170539316,41194.010170539324,,,,,,,,0.06041500082438119,0.07859113782676956,,,,,0.09144852321808877,0.06642249856273866,,
"(1, 0, 0, 1, 0, 0)",41197.43350387265,97.30333333332965,,41198.09017053932,41197.07017053932,,41198.15017053932,,,41197.110170539316,,,41197.070170539315,,,41197.11017053932,,,0.026473968891614533,0.02699989534186532,,0.017160479755098938,,,0.027827265910756776,,,0.06104748280892133,,,0.038219457020059536,
"(1, 0, 1, 1, 0, 0)",41210.93017053932,110.80000000000291,,,,,,,41210.93017053932,,,,,,,,,,,,,,,0.021011564390837748,,,,,,,,
"(1, 1, 0, 1, 0, 0)",41238.56731339647,138.43714285714668,,,41239.150170539324,,41240.15017053932,41238.13017053932,,,41238.150170539324,,41238.13017053932,41238.110170539316,,,41238.15017053932,,,0.029566812401317883,,0.022981277654857416,0.06436887990170792,,,0.020184303707987492,,0.04220025234051056,0.07623587993322682,,,0.01734870447584799
"(0, 3, 0, 0, 0, 1)",41248.21017053932,148.08000000000175,,,,,,,41248.21017053932,,,,,,,,,,,,,,,0.027859400189644886,,,,,,,,
"(1, 1, 0, 2, 0, 0)",41254.11017053932,153.9800000000032,,,,,,41254.11017053932,,,,,,,,,,,,,,,0.020335261060203915,,,,,,,,,
"(2, 0, 1, 0, 0, 0)",41273.080170539324,172.95000000000437,,,,,,,41272.25017053932,,,,,,41273.91017053932,,,,,,,,,0.03649849739144112,,,,,,0.05915897074701552,,
"(2, 0, 0, 1, 0, 0)",41276.90817053932,176.77799999999843,,41276.87017053932,41276.89017053932,,41277.91017053932,41276.93017053932,,41276.91017053932,41276.91017053932,,41276.930170539315,41276.95017053932,,41276.89017053932,41275.89017053932,,0.15523493955334977,0.1374159815249723,,0.12173746067380826,0.07320431406990503,,0.1335241247677744,0.12979880277239855,,0.08063488974190604,0.03762659442028828,,0.13999965325487193,0.12313891175813416
"(2, 0, 1, 1, 0, 0)",41289.91017053932,189.77999999999884,,,,,,,,,,,,,,,41289.91017053932,,,,,,,,,,,,,,,0.018010480351889197
"(2, 0, 1, 0, 0, 1)",41294.93017053932,194.8000000000029,,,,,,,,,,,,,,41294.93017053932,,,,,,,,,,,,,,,0.015100213437843466,
"(0, 5, 0, 0, 0, 0)",41310.79017053932,210.6600000000035,,,,,,,41310.79017053932,,,,,,,,,,,,,,,0.034451003649107054,,,,,,,,
"(3, 0, 1, 0, 1, 0)",41336.4879483171,236.35777777778276,,41336.95017053932,41336.910170539326,,41336.930170539315,41336.95017053932,,41336.930170539315,41335.93017053932,,41336.95017053932,,,41335.93017053932,41334.91017053932,,0.07470186906828734,0.08583340457685083,,0.07150870005252236,0.03350125414087238,,0.06840480671672557,0.11348981149390257,,0.030303805617653664,,,0.10927962295298627,0.11087553536859415
"(1, 4, 0, 0, 0, 0)",41347.59017053932,247.45999999999913,,,,,,,41347.59017053932,,,,,,,,,,,,,,,0.027444674864684413,,,,,,,,
"(3, 0, 0, 1, 0, 0)",41355.95617053932,255.82600000000093,,41356.87017053932,41355.830170539324,,41356.850170539314,41356.870170539325,,41355.89017053932,41355.87017053932,,41355.850170539314,41354.85017053932,,41355.85017053932,41354.83017053932,,0.0627507669767339,0.12907747782968165,,0.14414782997011516,0.1330945049463341,,0.10015437094371409,0.15480192739510068,,0.1135876886157075,0.09378700799720982,,0.10566565462169167,0.15848408783859855
"(3, 0, 0, 2, 0, 0)",41373.73683720599,273.60666666666657,,41375.85017053932,41373.79017053932,,41372.83017053932,,41373.85017053932,41373.85017053932,41372.87017053932,,41372.850170539314,,,41374.85017053932,41372.89017053932,,0.07274857302912743,0.02642351850072154,,0.034730493269667165,,0.02688449726539083,0.0654388392955384,0.02377726223615407,,0.03240693990975592,,,0.05881084624382113,0.03511813076519865
