"PTM pattern (P,Ac,Me,Ox,-H2O)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
,43772.107645061675,0.0,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,43772.107645061675,0.10446412351703474,0.12356076160923013,0.1663634743876297,0.12303222993470662,0.0825276651929631,0.08380399992332525,0.18611246364957235,0.13053653134128193,0.12662632220027842,0.047579550645940584,0.1013899279517812,0.12832924269452564,0.13122727053608005,0.08975057129925261,0.0492379460594285
,43783.827645061676,11.720000000001164,,,,43783.18764506168,,,,,,,43784.147645061676,43784.147645061676,,,,,,,0.030340381725808635,,,,,,,0.028524519366378703,0.01226858879475094,,,
"(0, 0, 0, 1, 0)",43787.861930775965,15.754285714290745,43787.067645061674,43787.18764506168,,,,,43788.107645061675,,43787.02764506167,,,,43789.16764506167,43789.067645061674,43787.40764506168,0.0477669590755492,0.023639773571010932,,,,,0.07242745873348146,,0.01414027879164269,,,,0.05107914971776798,0.026291657648505558,0.0088158926866457
"(0, 1, 0, 1, 0)",43831.53164506167,59.42399999999179,43832.14764506167,43830.18764506168,43831.147645061676,,43832.18764506167,43831.067645061674,43831.107645061675,,43834.08764506168,,43831.147645061676,43831.107645061675,,43831.12764506167,,0.014852770235795232,0.013326349183536606,0.057431552095514045,,0.013616141670522382,0.019510304494143167,0.012452139804193497,,0.01845471319376523,,0.04438529096396326,0.03244988575465279,,0.04906676006125275,
"(1, 0, 0, 0, 0)",43852.007645061676,79.90000000000146,43853.08764506167,43853.08764506168,43853.08764506168,43851.12764506167,43853.08764506167,43851.04764506168,43851.08764506168,43851.067645061674,43852.04764506168,43851.107645061675,43853.107645061675,43852.02764506167,43851.06764506168,43853.067645061674,43851.007645061676,0.12749921367458947,0.039092147925736315,0.0677611620698804,0.15340098641841515,0.026408640684695634,0.09256414202918059,0.21308775972375762,0.03382897330288162,0.060449560382825396,0.04565557088140688,0.0765677897636287,0.14707442261001366,0.14740844799677558,0.031257558231281554,0.03019316354152442
"(1, 0, 0, 1, 0)",43867.49335934739,95.38571428571595,43868.02764506167,,,,,43867.04764506168,43867.067645061674,43867.067645061674,,43868.08764506167,,43867.067645061674,43868.08764506167,,,0.09641138552407921,,,,,0.02906250507076454,0.12608450192166623,0.011252940323074017,,0.08712467751724447,,0.03715185944336394,0.11940017762659981,,
"(0, 2, 0, 1, 0)",43874.09431172834,101.98666666666395,43874.04764506167,43875.147645061676,,,,,43873.08764506168,,,,,,,,,0.03451980371358367,0.012712903120788037,,,,,0.013954921176259676,,,,,,,,
"(1, 1, 0, 0, 1)",43877.90097839501,105.79333333333489,,,,43877.12764506167,,,,,,,,,43879.18764506168,,43877.38764506168,,,,0.013404498840630632,,,,,,,,,0.037420736842826735,,0.012701698060990791
"(1, 1, 0, 1, 0)",43911.11764506167,139.00999999999476,43913.12764506167,,,,,43911.107645061675,43912.08764506168,,,,43910.12764506167,43910.107645061675,,,43910.147645061676,0.011054654056615688,,,,,0.03355060926046144,0.04527970899097092,,,,0.02364826270372551,0.04676427368022824,,,0.008542348294758894
"(2, 0, 0, 1, 0)",43949.08050220453,176.9728571428568,43951.02764506167,43948.90764506168,43949.84764506168,43948.02764506167,43948.88764506167,43949.90764506168,43947.02764506168,43947.90764506167,43948.88764506167,43950.04764506168,43949.927645061674,,43947.967645061675,43948.88764506167,43949.86764506168,0.08014443353644196,0.14362491602878913,0.12326165338678956,0.08741158680694835,0.1000317736771,0.06588651613482795,0.05859604774048895,0.1306421690341192,0.12604371002869547,0.07211827631265244,0.053618958040620064,,0.05730812760414393,0.09305717033101407,0.08251891313752945
