PTM pattern,average mass,mass shift,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep5,masses xray_7hr_rep6,raw intensities nutlin_only_rep5,raw intensities nutlin_only_rep6,raw intensities uv_7hr_rep5,raw intensities uv_7hr_rep6,raw intensities xray-nutlin_rep5,raw intensities xray-nutlin_rep6,raw intensities xray_2hr_rep5,raw intensities xray_2hr_rep6,raw intensities xray_7hr_rep5,raw intensities xray_7hr_rep6,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
1[Cys],43771.22185871494,118.67072932252631,,,,,,,43771.22185871494,,,,,,,,,,1173.4486065917442,,,,,,,,,,0.11211863618860259,,,
1[Cys],43772.403302491,119.85217309858854,,43772.48244492816,,,,43772.4892111532,,,43772.23825139164,,,945.6310678784578,,,,577.8780423950294,,,675.6228248581868,,,0.17925602649728084,,,,0.13218560562115833,,,0.09760342051500338,
1[Ph]1[Ac]1[Cys-Cys],43773.34305598184,120.79192658942338,43773.28828105968,,,43773.41191207233,43773.295327432395,,,43773.35852504421,,43773.36123430058,608.2425590628392,,,772.6457654650912,899.1363865612193,,,325.7069995638351,,96.07662915432473,0.13029078605935715,,,0.08845744789598849,0.14678328845159183,,,0.15111983299834217,,0.05472629091574535
1[Ph]1[Ac],43774.27636049339,121.72523110097973,,,43774.27636049339,,,,,,,,,,838.0763963015421,,,,,,,,,,0.08589176926579417,,,,,,,
1[Ox]1[Cys],43787.36828105968,134.81715166726644,43787.36828105968,,,,,,,,,,110.27823633269227,,,,,,,,,,0.023622546437993688,,,,,,,,,
1[Ox]1[Cys],43788.3692111532,135.8180817607863,,,,,,43788.3692111532,,,,,,,,,,88.37045031795067,,,,,,,,,,0.020214129344453647,,,,
1[Cys]1[Cys-Cys]1[Na],43791.280055053285,138.72892566087103,,,,,,,43791.28185871494,,43791.27825139163,,,,,,,,201.81857232043427,,189.44305795345952,,,,,,,,0.019283011594192764,,0.027367770550026597,
2[Ph]1[Ox],43829.025222726894,176.47409333448013,,,,,,43829.4492111532,,,,43828.601234300586,,,,,,194.6103002517668,,,,30.934360022894214,,,,,,0.04451576026712955,,,,0.017620547273635358
1[Ac]1[Ox]1[Cys],43830.346885393636,177.7957560012219,,,,43830.43191207234,,,43830.26185871494,,,,,,,230.8987843862942,,,536.2023207164606,,,,,,,0.026434775290333876,,,0.051232131157840345,,,
1[Ox]1[Cys]2[Na],43831.36828105968,178.81715166726644,43831.36828105968,,,,,,,,,,74.9659283298374,,,,,,,,,,0.01605834643470723,,,,,,,,,
2[Ph]1[Cys-Cys]1[Na],43832.053073788,179.50194439558982,,43831.52244492816,,,,,,43832.35852504421,43832.27825139163,,,384.81837738780405,,,,,,82.93032041857026,362.7654028267111,,,0.07294706741015722,,,,,,0.03847757705218467,0.05240667256589805,
1[Ac]1[Cys]1[Cys-Cys]1[Na],43833.39636049339,180.84523110097507,,,43833.39636049339,,,,,,,,,,137.5236590870987,,,,,,,,,,0.014094359949790039,,,,,,,
1[Ph]1[Cys],43851.2353274324,198.68419803998404,,,,,43851.2353274324,,,,,,,,,,239.8793084176609,,,,,,,,,,0.039160103236062865,,,,,
1[Ph]1[Cys],43852.27263680578,199.72150741336372,,,,43852.351912072336,,,43852.22185871494,43852.298525044214,43852.218251391634,,,,,879.5031308649582,,,860.2931307285269,364.28688755320377,228.3647145312077,,,,,0.100691165149938,,,0.08219779886215617,0.16901992798511106,0.032990562845263055,
2[Ac]1[Cys]1[Cys-Cys],43853.381839614376,200.83071022196236,,43853.46244492816,,,,,,,,43853.30123430058,,408.83407224511694,,,,,,,,59.73447686887915,,0.07749953843181194,,,,,,,,0.034025406465657534
2[Ph]1[Ac],43854.32461756875,201.77348817633901,43854.26828105968,,43854.29636049339,,,43854.4092111532,,,,,200.3826154943955,,277.40927296131485,,,294.7895606516006,,,,,0.04292367920722466,,0.028430789090988656,,,0.06743107324865227,,,,
1[Ph]1[Ox]1[Cys],43867.338525044215,214.7873956518015,,,,,,,,43867.338525044215,,,,,,,,,,87.76749976253498,,,,,,,,,,0.04072190626715972,,
1[Ph]1[Ox]1[Cys],43868.351912072336,215.80078267992212,,,,43868.351912072336,,,,,,,,,,274.07193480994306,,,,,,,,,,0.03137751473808943,,,,,,
2[Ph]1[Ac]1[Me1],43869.13532743239,216.58419803997822,,,,,43869.13532743239,,,,,,,,,,99.68493083200298,,,,,,,,,,0.016273484396012287,,,,,
2[Ph]1[Ac]1[Ox],43870.22185871494,217.6707293225263,,,,,,,43870.22185871494,,,,,,,,,,372.17121730266587,,,,,,,,,,0.03555957123151994,,,
1[Ph]1[Cys]1[Cys-Cys]1[Na],43872.3503481599,219.79921876748267,,43872.48244492816,,,,,,,43872.218251391634,,,115.2207523850564,,,,,,,141.12598777150544,,,0.021841514036663366,,,,,,,0.020387675820379085,
