PTM pattern,average mass,mass shift,masses nutlin_5,masses nutlin_6,masses uv_5,masses uv_6,raw intensities nutlin_5,raw intensities nutlin_6,raw intensities uv_5,raw intensities uv_6,rel. abundances nutlin_5,rel. abundances nutlin_6,rel. abundances uv_5,rel. abundances uv_6
1[Cys],43773.24595449588,120.69482510346279,43773.41039098617,43772.64713632025,43773.75600570958,43773.1702849675,0.7734418224951909,0.9702304538750363,0.5113598454644672,0.6713011742159204,0.13664607313469532,0.17427572060726593,0.08644569200833703,0.08976114656332022
1[Cys]1[Ox],43788.75436335822,136.20323396580352,43788.75436335822,,,,0.13595462059187688,,,,0.02401947307227865,,,
1[Ph]2[Me3]1[Ox],43832.83097226193,180.27984286951687,,43832.73553612847,,43832.92640839539,,0.39770804724083647,,0.20431384471386596,,0.07143751904239076,,0.02731925053117513
1[Cys]1[Ph],43853.23995265673,200.68882326431776,43853.88622222988,43853.0212911848,43854.143405863135,43851.90889134909,0.26745912883601236,0.40613146431573954,0.17149032211544443,0.7493980010990969,0.047252732676858686,0.07295055862473039,0.02899054296008921,0.10020364390019558
1[Cys]1[Ph-OH],43869.27150863267,216.7203792402579,,43869.918297367505,,43868.62471989784,,0.12710163973571925,,0.24618841674489123,,0.02283037990287671,,0.03291839103877716
1[Cys]1[Ph-OH]1[Me3],43911.86356153026,259.3124321378491,,,,43911.86356153026,,,,0.27371370960579966,,,,0.036598858080373046
1[Cys]1[Ph-OH]1[Ph],43950.38281601655,297.83168662413664,43950.295705879085,43950.302793283976,43950.318108092884,43950.61465681026,0.8979586652901546,0.7164445848223713,0.6181191397036918,0.5313072850419441,0.15864480285449625,0.12868993731995737,0.10449341544749143,0.07104225780405118
3[Ph-OH]1[Ox],43962.43051840327,309.87938901085727,,43962.43051840327,,,,0.14443182250867226,,,,0.025943279605158173,,
3[Cys],44009.97199510975,357.4208657173367,44009.85297371571,44010.35076549374,44009.682657223,44010.00158400657,0.359459909864862,0.42536535127233716,0.24559266523604228,0.28415667573163556,0.06350676121175271,0.07640540741457418,0.04151758900665728,0.03799520989529694
1[Cys]1[Ph-OH]2[Ph],44029.84764779808,377.2965184056666,44030.78935057713,44029.35623440415,44029.87522673495,44029.3697794761,0.5883486633695332,0.7748848609723978,0.8932502310162049,1.016460188209518,0.10394516063810777,0.13918715599399137,0.15100449329701693,0.135913112376455
1[Cys]2[Ph-OH]1[Ph],44047.104592551244,394.5534631588307,44047.930253332706,44045.89356365686,44047.84503081404,44046.74952240138,0.4505247489819292,0.20825922467263716,0.26015604572987416,0.32388043352063745,0.0795954343401927,0.03740815010287133,0.043979537311625426,0.043306760331819134
2[Cys]2[Ph-OH],44088.23845776182,435.6873283694076,,44088.049316893004,44088.26880052518,44088.39725586728,,0.3692314658116198,0.3220623317574337,0.5779264163200465,,0.06632246959286336,0.054444832509877916,0.07727580369378691
3[Cys]1[Ph]1[Ox],44105.70767004452,453.156540652104,44104.977442312935,44106.43789777611,,,0.33254754880268034,0.3174174344249482,,,0.05875208109106003,0.057015476989802145,,
3[Cys]1[Ph-OH],44108.113152953556,455.56202356114227,,,44108.28847828013,44107.937827626985,,,0.5177431533958269,0.8966596704100306,,,0.08752479408552005,0.11989432341914172
3[Cys]1[Ph-OH]1[Me1],44121.12810677778,468.5769773853681,44121.12810677778,,,,0.2482440526223986,,,,0.043857952832779934,,,
4[Ph-OH]1[Ph],44125.603736961915,473.05260756950156,,44126.375917201716,,44124.83155672212,,0.17175529308728688,,0.4032038852375987,,0.030851203805600566,,0.053913272354967255
4[Cys],44129.551786214186,477.0006568217723,44130.74005641457,,44128.36351601381,,0.3160369170913963,,0.3280021583603534,,0.05583510282236269,,0.055448963799522966,
1[Cys]3[Ph-OH]1[Ph],44146.375140303884,493.8240109114704,44146.667833308784,,,44146.082447298984,0.1312672213815984,,,0.13907586771594352,0.023191337488359914,,,0.018596138104558794
3[Cys]2[Ph],44169.28862632422,516.7374969318043,,,,44169.28862632422,,,,0.36041509524077653,,,,0.048191889765911156
3[Cys]1[Ph-OH]1[Ph],44187.40365288935,534.8525234969347,44186.35212611006,44187.90993211873,44187.64321469515,44187.70933863347,0.21433787992714506,0.09530307541420009,0.22508702876752057,0.30291336605514785,0.03786765696426031,0.017118625866218727,0.03805109872527298,0.040503207935279624
3[Cys]2[Ph-OH],44205.70961612793,553.1584867355195,44204.080466351596,44204.96175647189,44207.0910401701,44206.705201518154,0.3805151206427976,0.19479727644802278,0.3704545696351103,0.2569663283484821,0.06722664264064467,0.03499007435782309,0.0626255696723122,0.03435952914527071
3[Cys]2[Ph-OH]1[Ox],44222.07372425533,569.5225948629159,44222.07372425533,,,,0.20940381797423474,,,,0.0369959428018513,,,
