vertical_error,peak_width_variation,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,r_score_abundance,matching_ptm_patterns,mass_shift_deviation
0,0,0,0,,30,18.0,0.5018290623057593,10.0,0.3345486680875039
0,0,0,1,,30,15.0,0.9280328771471515,9.0,0.2893864005355313
0,0,1,0,,30,18.0,0.5153881331524894,11.0,0.32760645003926414
0,0,1,1,,30,18.0,0.7572515664106476,10.0,0.3488440709441796
0,1,0,0,,30,18.0,0.5057605206131423,10.0,0.336435317009113
0,1,0,1,,30,16.5,0.9177345771061987,8.5,0.416970196622705
0,1,1,0,,30,18.0,0.5125966798636284,10.5,0.3314255153654553
0,1,1,1,,30,17.5,0.7705767701478401,10.5,0.31451437214131034
1,0,0,0,,30,19.0,0.5509798375284227,10.5,0.33654415789090736
1,0,0,1,,30,16.5,0.6245715040303941,10.0,0.36918081825336324
1,0,1,0,,30,17.5,0.735571000870444,10.5,0.35882415139594503
1,0,1,1,,30,15.5,0.9278112211438656,8.5,0.32842292511097065
1,1,0,0,,30,18.0,0.5122676352499087,10.0,0.4029005968567734
1,1,0,1,,30,18.0,0.8880998080024793,9.5,0.3881106780103484
1,1,1,0,,30,18.0,0.5046896877534859,11.5,0.312034538848336
1,1,1,1,,30,18.5,0.5324593041159504,10.0,0.39300755159929207
