vertical_error,peak_width_variation,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,r_score_abundance,matching_ptm_patterns,mass_shift_deviation
0,0,0,0,,18,8.0,0.0,2.0,0.4947699152145636
0,0,0,1,,18,8.0,0.0,2.0,0.45654424425232265
0,0,1,0,,18,9.0,-1.5172250667520845e+31,2.0,0.4648814769585541
0,0,1,1,,18,9.0,-1.3845252431060601e+31,2.0,0.43700173271374143
0,1,0,0,,18,8.0,0.0,2.0,0.4937089162385887
0,1,0,1,,18,8.0,0.0,2.0,0.4268198449566345
0,1,1,0,,18,8.0,0.0,2.0,0.4965374626379703
0,1,1,1,,18,9.5,-2.985202101111274e+31,2.0,0.45678554781604785
1,0,0,0,,18,7.0,-2.0846558383367455e+31,2.0,0.3992383598052326
1,0,0,1,,18,9.0,-1.4140611930429168e+31,2.0,0.4573973599324786
1,0,1,0,,18,7.0,-3.2512354674801586e+31,1.5,0.5258170958998746
1,0,1,1,,18,9.0,-1.9904251993552047e+31,2.0,0.4386944437264885
1,1,0,0,,18,7.5,-5.821778541559748e+30,2.0,0.533926615089507
1,1,0,1,,18,10.0,-2.7831883374801517e+31,2.0,0.4089782578906908
1,1,1,0,,18,7.5,-4.604341625561257e+30,2.0,0.44130050139348637
1,1,1,1,,18,9.5,-2.9320714695811396e+31,2.0,0.45607416857983873
