vertical_error,peak_width_variation,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,r_score_abundance,matching_ptm_patterns,mass_shift_deviation
0,0,0,0,,7,7.0,0.9999737851941732,5.0,0.09823650435751417
0,0,0,1,,7,7.0,0.9823888126128859,5.0,0.18051467573847665
0,0,1,0,,7,7.0,0.9999718647886245,5.0,0.09849995330310006
0,0,1,1,,7,7.0,0.9858317996032631,5.0,0.18868017962170386
0,1,0,0,,7,7.0,0.999936697697464,5.0,0.09758752858440141
0,1,0,1,,7,7.0,0.9806685215007601,5.0,0.19887677348250252
0,1,1,0,,7,7.0,0.9999007979524184,5.0,0.09792332691356385
0,1,1,1,,7,7.0,0.9764588584823217,5.0,0.1695351690934344
1,0,0,0,,7,7.0,0.9160699281497449,4.6,0.33401609215361133
1,0,0,1,,7,7.0,0.9427843236089262,5.0,0.33191879011446046
1,0,1,0,,7,6.8,0.9524900047998381,4.2,0.30391763737684474
1,0,1,1,,7,7.0,0.958137655643357,4.6,0.2964903575137306
1,1,0,0,,7,6.8,0.9441579147326445,4.0,0.36368019771475046
1,1,0,1,,7,7.0,0.9381738086595377,4.4,0.3560769418630629
1,1,1,0,,7,6.8,0.9491929404236261,4.4,0.32935988089653223
1,1,1,1,,7,6.6,0.9675832561207404,4.0,0.3936164955321992
