mass shift,mass error (Da),PTM pattern,amount of PTMs
118.58860631904099,0.5536936809590145,1[Cys],1
118.58860631904099,0.6275063190410037,1[Ph]1[Ox]1[Na],3
118.58860631904099,0.4575063190409878,1[Me2]1[Me3]3[Ox],5
118.58860631904099,0.5005063190409942,1[Ac]1[Me2]3[Ox],5
118.58860631904099,0.5465063190409865,1[Me3]2[Ox]2[Na],5
118.58860631904099,0.5895063190409928,1[Ac]2[Ox]2[Na],5
118.58860631904099,0.4574063190409987,1[Me1]2[Me2]3[Ox],6
118.58860631904099,0.4575063190409878,2[Me1]1[Me3]3[Ox],6
118.58860631904099,0.5005063190409942,1[Ac]2[Me1]3[Ox],6
118.58860631904099,0.5464063190409831,1[Me1]1[Me2]2[Ox]2[Na],6
119.48874788951798,0.3464478895179752,1[Cys],1
119.48874788951798,0.5930521104820343,2[Ac]1[Me1]1[Na],4
119.48874788951798,0.6360521104820123,1[Ac]1[Me1]1[Me3]1[Na],4
119.48874788951798,0.6790521104820186,1[Me1]2[Me3]1[Na],4
119.48874788951798,0.6361521104820156,1[Ac]2[Me1]1[Me2]1[Na],5
119.48874788951798,0.679152110482022,2[Me1]1[Me2]1[Me3]1[Na],5
119.48874788951798,0.6792521104820253,1[Me1]3[Me2]1[Na],5
119.48874788951798,0.43725211048202084,2[Ox]4[Na],6
119.48874788951798,0.5262521104820195,1[Me2]3[Ox]2[Na],6
119.48874788951798,0.679152110482022,4[Me1]1[Me3]1[Na],6
120.49824782253563,0.33034782253562867,2[Me2]1[Me3]1[Na],4
120.49824782253563,0.37334782253563503,1[Ac]2[Me2]1[Na],4
120.49824782253563,0.4164478225356163,2[Ac]1[Me1]1[Na],4
120.49824782253563,0.33024782253562535,1[Me1]3[Me2]1[Na],5
120.49824782253563,0.37334782253563503,1[Ac]2[Me1]1[Me2]1[Na],5
120.49824782253563,0.33024782253562535,3[Me1]2[Me2]1[Na],6
120.49824782253563,0.33034782253562867,4[Me1]1[Me3]1[Na],6
120.49824782253563,0.37334782253563503,1[Ac]4[Me1]1[Na],6
120.49824782253563,0.3942478225356325,2[Me2]4[Ox],6
120.49824782253563,0.437347822535628,1[Ac]1[Me1]4[Ox],6
121.40335395390866,0.6132460460913478,1[Ph]1[Ac],2
121.40335395390866,0.65624604609134,1[Ph]1[Me3],2
121.40335395390866,0.6563460460913291,1[Ph]1[Me1]1[Me2],3
121.40335395390866,0.6512460460913303,2[Ac]1[Ox]1[Na],4
121.40335395390866,0.6563460460913291,1[Ph]3[Me1],4
121.40335395390866,0.6942460460913367,1[Ac]1[Me3]1[Ox]1[Na],4
121.40335395390866,0.737246046091343,2[Me3]1[Ox]1[Na],4
121.40335395390866,0.6053460460913413,1[Ac]1[Me1]3[Na],5
121.40335395390866,0.6483460460913477,1[Me1]1[Me3]3[Na],5
121.40335395390866,0.69434604609134,1[Ac]1[Me1]1[Me2]1[Ox]1[Na],5
130.92276276514895,0.9078627651489342,1[Ph]1[Me2]1[Na],3
130.92276276514895,0.9078627651489342,1[Ph]2[Me1]1[Na],4
130.92276276514895,1.064937234851044,1[Ph]1[Me1]1[Ox]1[Na],4
130.92276276514895,0.7378627651489467,2[Me2]1[Me3]2[Ox],5
130.92276276514895,0.73796276514895,1[Me1]2[Me3]2[Ox],5
130.92276276514895,0.780862765148953,1[Ac]2[Me2]2[Ox],5
130.92276276514895,0.8239627651489343,2[Ac]1[Me1]2[Ox],5
130.92276276514895,0.8268627651489453,1[Me2]1[Me3]1[Ox]2[Na],5
130.92276276514895,0.8698627651489232,1[Ac]1[Me2]1[Ox]2[Na],5
130.92276276514895,0.9158627651489439,1[Me3]4[Na],5
131.3322455676025,0.6554544323974767,1[Ph]1[Me1]1[Ox]1[Na],4
131.3322455676025,0.7393544323974766,2[Ac]3[Ox],5
131.3322455676025,0.7823544323974829,1[Ac]1[Me3]3[Ox],5
131.3322455676025,0.8253544323974893,2[Me3]3[Ox],5
131.3322455676025,0.6475544323974987,1[Me2]1[Ox]4[Na],6
131.3322455676025,0.6934544323974876,1[Ac]1[Me1]2[Ox]2[Na],6
131.3322455676025,0.736454432397494,1[Me1]1[Me3]2[Ox]2[Na],6
131.3322455676025,0.7824544323974862,1[Ac]1[Me1]1[Me2]3[Ox],6
131.3322455676025,0.8254544323974926,1[Me1]1[Me2]1[Me3]3[Ox],6
131.3322455676025,0.8254544323974926,3[Me1]1[Me3]3[Ox],7
136.21955835761764,1.0778583576176288,1[Ox]1[Cys],2
