mass shift,mass error (Da),PTM pattern,amount of PTMs
120.6950051067106,0.5270051067105896,3[Me1]2[Me2]1[Na],6
120.6950051067106,0.5701051067105993,1[Ac]2[Me2]1[Na],4
120.6950051067106,0.5910051067105968,2[Me2]4[Ox],6
120.6950051067106,0.6132051067105806,2[Ac]1[Me1]1[Na],4
120.6950051067106,0.6341051067105923,1[Ac]1[Me1]4[Ox],6
120.6950051067106,0.6800051067105954,1[Me2]3[Ox]2[Na],6
120.6950051067106,0.7690051067105941,2[Ox]4[Na],6
136.20657602571737,0.039176025717381435,5[Me1]1[Me2]1[Ox]1[Na],8
136.20657602571737,0.0822760257173627,1[Ac]2[Me1]1[Me2]1[Ox]1[Na],6
136.20657602571737,0.10317602571737439,4[Me1]5[Ox],9
136.20657602571737,0.12027602571737361,1[Ph]2[Me2],3
136.20657602571737,0.12537602571737239,2[Ac]1[Me1]1[Ox]1[Na],5
136.20657602571737,0.12817602571735165,3[Me1]1[Me2]3[Na],7
136.20657602571737,0.14627602571735565,1[Ac]1[Me1]5[Ox],7
136.20657602571737,0.16337602571735488,1[Ph]1[Ac]1[Me1],3
136.20657602571737,0.17127602571736134,1[Ac]1[Me2]3[Na],5
136.20657602571737,0.19217602571737302,1[Me2]4[Ox]2[Na],7
136.20657602571737,0.28117602571737166,3[Ox]4[Na],7
136.20657602571737,1.0648760257173535,1[Ox]1[Cys],2
180.28007535959478,0.0600753595947765,9[Me1]2[Ox]1[Na],12
180.28007535959478,0.10317535959478619,1[Ac]4[Me1]1[Me2]2[Ox]1[Na],9
180.28007535959478,0.12407535959476945,4[Me1]1[Me2]6[Ox],11
180.28007535959478,0.1411753595947971,1[Ph]2[Me1]2[Me2]1[Ox],6
180.28007535959478,0.14627535959476745,2[Ac]1[Me1]1[Me2]2[Ox]1[Na],7
180.28007535959478,0.14907535959477514,5[Me1]1[Me2]1[Ox]3[Na],10
180.28007535959478,0.16717535959477914,1[Ac]1[Me1]1[Me2]6[Ox],9
180.28007535959478,0.18427535959474994,1[Ph]1[Ac]1[Me1]1[Me2]1[Ox],5
180.28007535959478,0.18937535959477714,3[Ac]2[Ox]1[Na],6
180.28007535959478,0.1921753595947564,1[Ac]2[Me1]1[Me2]1[Ox]3[Na],8
180.28007535959478,0.21027535959478882,2[Ac]6[Ox],8
180.28007535959478,0.2130753595947681,4[Me1]5[Ox]2[Na],11
180.28007535959478,0.22737535959475963,1[Ph]2[Ac]1[Ox],4
180.28007535959478,0.23017535959479574,1[Ph]4[Me1]2[Na],7
180.28007535959478,0.2352753595947661,2[Ac]1[Me1]1[Ox]3[Na],7
180.28007535959478,0.23807535959477377,3[Me1]1[Me2]5[Na],9
180.28007535959478,0.25617535959474935,1[Ac]1[Me1]5[Ox]2[Na],9
180.28007535959478,0.273275359594777,1[Ph]1[Ac]1[Me1]2[Na],5
180.28007535959478,0.27707535959478946,1[Me1]9[Ox]1[Na],11
180.28007535959478,0.28117535959478346,1[Ac]1[Me2]5[Na],7
180.28007535959478,0.2941753595947887,1[Ph]1[Me1]4[Ox]1[Na],7
180.28007535959478,0.3020753595947667,1[Me2]4[Ox]4[Na],9
180.28007535959478,0.8870246404052295,1[Me1]3[Ox]1[Cys],5
180.28007535959478,1.085775359594777,1[Me2]2[Ox]1[Cys],4
199.3611694208521,0.1578694208520801,1[Me1]1[Me2]1[Ox]1[Cys]1[Na],5
199.3611694208521,0.2009694208520898,1[Ac]1[Ox]1[Cys]1[Na],4
199.3611694208521,0.22186942085210148,5[Ox]1[Cys],6
199.3611694208521,0.2389694208520723,1[Ph]1[Cys],2
199.3611694208521,0.24686942085207875,1[Me1]1[Cys]3[Na],5
199.3611694208521,0.5447305791479096,1[Ph]2[Ox]4[Na],7
199.3611694208521,0.5618305791479088,7[Ox]4[Na],11
199.3611694208521,0.5827305791478921,1[Ac]3[Ox]5[Na],9
199.3611694208521,0.6257305791478984,1[Me3]3[Ox]5[Na],9
199.3611694208521,0.6337305791479082,1[Ph]1[Me2]3[Ox]2[Na],7
199.3611694208521,0.6508305791479074,1[Me2]8[Ox]2[Na],11
199.3611694208521,0.6717305791479191,1[Ac]1[Me2]4[Ox]3[Na],9
199.3611694208521,0.6796305791479256,1[Ph]1[Ac]1[Me1]4[Ox],7
199.3611694208521,0.6926305791479308,2[Ac]1[Me2]4[Na],7
199.3611694208521,0.6967305791478964,1[Ac]1[Me1]9[Ox],11
199.3611694208521,0.7005305791479088,1[Ph]2[Ac]1[Me1]1[Na],5
199.3611694208521,0.7147305791479255,1[Me2]1[Me3]4[Ox]3[Na],9
199.3611694208521,0.7176305791479081,2[Ac]1[Me1]5[Ox]1[Na],9
199.3611694208521,0.7226305791479035,1[Ph]1[Me1]1[Me3]4[Ox],7
