mass shift,mass error (Da),PTM pattern,amount of PTMs
120.6949292058489,1.5526292058488878,1[Cys],1
120.6949292058489,0.7179292058488898,1[Ph-OH]1[Na],2
120.6949292058489,1.3216707941511174,1[Ph]1[Ac],2
120.6949292058489,1.3646707941511096,1[Ph]1[Me3],2
120.6949292058489,1.364770794151113,1[Ph]1[Me1]1[Me2],3
120.6949292058489,0.5270292058488977,2[Me2]1[Me3]1[Na],4
120.6949292058489,0.5271292058488977,1[Me1]2[Me3]1[Na],4
120.6949292058489,0.5700292058488996,1[Ac]2[Me2]1[Na],4
120.6949292058489,0.5701292058488996,1[Ac]1[Me1]1[Me3]1[Na],4
120.6949292058489,1.4456707941510984,2[Me3]1[Ox]1[Na],4
136.20497344247997,1.0632734424799537,1[Ox]1[Cys],2
136.20497344247997,0.11867344247997162,1[Ph]2[Me2],3
136.20497344247997,0.11877344247997712,1[Ph]1[Me1]1[Me3],3
136.20497344247997,0.16177344247996472,1[Ph]1[Ac]1[Me1],3
136.20497344247997,0.2285734424799703,1[Ph-OH]1[Ox]1[Na],3
136.20497344247997,0.1186734424799738,1[Ph]2[Me1]1[Me2],4
136.20497344247997,0.03767344247997782,2[Me2]1[Me3]1[Ox]1[Na],5
136.20497344247997,0.03777344247995984,1[Me1]2[Me3]1[Ox]1[Na],5
136.20497344247997,0.0806734424799726,1[Ac]2[Me2]1[Ox]1[Na],5
136.20497344247997,0.0807734424799726,1[Ac]1[Me1]1[Me3]1[Ox]1[Na],5
180.27994752777886,0.14124752777884453,1[Ph]2[Me3]1[Ox],4
180.27994752777886,0.18424752777886225,1[Ph]1[Ac]1[Me3]1[Ox],4
180.27994752777886,0.22724752777884305,1[Ph]2[Ac]1[Ox],4
180.27994752777886,1.0856475277788604,1[Me2]2[Ox]1[Cys],4
180.27994752777886,1.174647527778859,1[Ox]1[Cys]2[Na],4
180.27994752777886,0.14104752777888085,1[Ph]3[Me2]1[Ox],5
180.27994752777886,0.14114752777888084,1[Ph]1[Me1]1[Me2]1[Me3]1[Ox],5
180.27994752777886,0.18414752777884505,1[Ph]1[Ac]1[Me1]1[Me2]1[Ox],5
180.27994752777886,0.23004752777886017,1[Ph]2[Me2]2[Na],5
