PTM pattern,amount of PTMs,mass error (Da),mass shift
1[Cys]1[Cys-Cys],2,0.3620373844595548,116.76436261554045
1[Ph]1[Me1]1[Na],3,0.7760626155404395,116.76436261554045
1[Ph]1[Ox]1[Na],3,1.1967373844595528,116.76436261554045
2[Me3]2[Ox],4,0.6061626155404412,116.76436261554045
1[Ph-H2O]2[Cys-Cys]1[Na],4,0.8191626155404492,116.76436261554045
1[Ph]1[Ox]1[Cys-Cys]1[Na],4,0.8191626155404634,116.76436261554045
1[Ph]1[Me3]2[Cys-Cys],4,1.2634373844595501,116.76436261554045
1[Me1]1[Me2]1[Me3]2[Ox],5,0.606062615540452,116.76436261554045
2[Me2]1[Ox]2[Na],5,0.6949626155404616,116.76436261554045
1[Me3]2[Ox]2[Na],5,1.2777373844595559,116.76436261554045
1[Cys],1,0.6778859101182491,118.46441408988176
1[Cys]1[Cys-Cys],2,1.338014089881753,118.46441408988176
1[Ph]1[Ox]1[Na],3,0.503314089881755,118.46441408988176
1[Ph-H2O]1[Cys-Cys]1[Na],3,0.503314089881755,118.46441408988176
1[Ph]1[Me3]2[Cys-Cys],4,0.43661408988175765,118.46441408988176
2[Me2]1[Me3]1[Cys-Cys]1[Na],5,0.31241408988177,118.46441408988176
1[Me1]2[Me3]1[Cys-Cys]1[Na],5,0.3125140898817591,118.46441408988176
1[Me2]1[Me3]3[Ox],5,0.33331408988175326,118.46441408988176
1[Ac]1[Me1]1[Me3]1[Cys-Cys]1[Na],5,0.35551408988175126,118.46441408988176
1[Ph]1[Me1]1[Me2]2[Cys-Cys],5,0.43651408988175433,118.46441408988176
1[Cys],1,1.331200599851826,120.47350059985183
1[Ph-H2O]1[Na],2,0.49650059985182793,120.47350059985183
1[Ph]1[Me3]1[Cys-Cys],3,0.4298005998518306,120.47350059985183
1[Ph]1[Ac]1[Cys-Cys],3,0.472800599851837,120.47350059985183
2[Me2]1[Me3]1[Na],4,0.30560059985182875,120.47350059985183
1[Me1]2[Me3]1[Na],4,0.30570059985183207,120.47350059985183
1[Ph]1[Me1]1[Me2]1[Cys-Cys],4,0.4297005998518273,120.47350059985183
1[Me1]3[Me2]1[Na],5,0.3055005998518254,120.47350059985183
2[Me1]1[Me2]1[Me3]1[Na],5,0.30560059985182875,120.47350059985183
1[Ph-H2O]1[Me2]3[Cys-Cys],5,0.472800599851837,120.47350059985183
1[Ph]1[Me2]1[Na],3,0.33953809330171225,130.35443809330172
1[Ph-H2O]2[Ox],3,0.36043809330172394,130.35443809330172
1[Me1]1[Cys]1[Cys-Cys],3,0.7985619066982963,130.35443809330172
1[Ph]2[Me1]1[Na],4,0.33953809330171225,130.35443809330172
1[Ox]1[Cys]2[Cys-Cys],4,0.7554619066982866,130.35443809330172
2[Me2]1[Me3]2[Ox],5,0.16953809330172476,130.35443809330172
1[Me1]2[Me3]2[Ox],5,0.16963809330172808,130.35443809330172
1[Ac]1[Me1]1[Me3]2[Ox],5,0.21263809330173444,130.35443809330172
2[Ac]1[Me1]2[Ox],5,0.2556380933017124,130.35443809330172
1[Me3]4[Na],5,0.34753809330172203,130.35443809330172
1[Me1]1[Cys]1[Cys-Cys],3,0.5713626155395559,131.72436261553958
1[Ox]1[Cys]1[Cys-Cys],3,1.4014373844604506,131.72436261553958
1[Ph-H2O]1[Me1]1[Cys-Cys]1[Na],4,0.26333738446041366,131.72436261553958
1[Ph]1[Me1]1[Ox]1[Na],4,0.2633373844604421,131.72436261553958
1[Ox]1[Cys]2[Cys-Cys],4,0.6144626155395656,131.72436261553958
1[Ph]2[Ox]1[Cys-Cys]1[Na],5,0.22023738446040397,131.72436261553958
1[Ph-H2O]1[Ox]2[Cys-Cys]1[Na],5,0.2202373844604324,131.72436261553958
1[Ph]1[Ac]1[Me1]2[Cys-Cys],5,0.28703738446043303,131.72436261553958
2[Ac]3[Ox],5,0.3472373844604135,131.72436261553958
2[Me3]3[Ox],5,0.43323738446042626,131.72436261553958
1[Ox]1[Cys],2,0.663495890090303,134.4782041099097
1[Ph-H2O]1[Me1]1[Na],3,0.4746041099097056,134.4782041099097
1[Ox]1[Cys]1[Cys-Cys],3,1.3524041099096848,134.4782041099097
1[Me2]2[Me3]1[Na],4,0.2838041099097097,134.4782041099097
1[Ph]1[Me1]1[Me3]1[Cys-Cys],4,0.40790410990970827,134.4782041099097
1[Ph]1[Ac]1[Me1]1[Cys-Cys],4,0.45090410990971463,134.4782041099097
1[Ph]2[Ox]1[Na],4,0.5177041099097153,134.4782041099097
4[Me2]1[Na],5,0.2836041099097031,134.4782041099097
1[Me1]2[Me2]1[Me3]1[Na],5,0.2837041099097064,134.4782041099097
2[Me1]2[Me3]1[Na],5,0.2838041099097097,134.4782041099097
1[Ox]1[Cys],2,0.9524320373967612,136.09413203739678
1[Ph]2[Me2],3,0.007832037396781288,136.09413203739678
1[Ph]1[Me1]1[Me3],3,0.007932037396784608,136.09413203739678
1[Ph]1[Ac]1[Me1],3,0.05093203739676255,136.09413203739678
1[Ph-H2O]1[Ox]1[Na],3,0.11773203739676319,136.09413203739678
