,mass shift,mass error (Da),PTM pattern,amount of PTMs
0,120.6948,1.5525,1[Cys],1
1,120.6948,1.3218,1[Ph]1[Ac],2
2,120.6948,1.3648,1[Ph]1[Me3],2
3,120.6948,1.3649,1[Ph]1[Me2]1[Me1],3
4,120.6948,1.3649,1[Ph]3[Me1],4
5,136.2032,1.0615,1[Cys]1[Ox],2
6,136.2032,0.1169,1[Ph]2[Me2],3
7,136.2032,0.117,1[Ph]1[Me3]1[Me1],3
8,136.2032,0.16,1[Ph]1[Ac]1[Me1],3
9,136.2032,0.1169,1[Ph]1[Me2]2[Me1],4
10,180.2798,0.1411,1[Ph]2[Me3]1[Ox],4
11,180.2798,0.1841,1[Ph]1[Me3]1[Ac]1[Ox],4
12,180.2798,0.2271,1[Ph]2[Ac]1[Ox],4
13,180.2798,1.0855,1[Cys]1[Me2]2[Ox],4
14,180.2798,1.0855,1[Cys]2[Ox]2[Me1],5
15,200.6888,1.5666,1[Cys]1[Ph],2
16,200.6888,1.3077,2[Ph]1[Ac],3
17,200.6888,1.3507,2[Ph]1[Me3],3
18,200.6888,1.3508,2[Ph]1[Me2]1[Me1],4
19,200.6888,1.3508,2[Ph]3[Me1],5
20,216.7204,0.4171,1[Cys]1[Ph-OH],2
21,216.7204,0.5219,1[Cys]2[Ac]1[Me1],4
22,216.7204,0.5649,1[Cys]1[Me3]1[Ac]1[Me1],4
23,216.7204,0.6079,1[Cys]2[Me3]1[Me1],4
24,216.7204,1.2755,2[Ph]1[Ac]1[Ox],4
25,259.3124,0.0952,1[Cys]1[Ph-OH]1[Me3],3
26,259.3124,0.1382,1[Cys]1[Ph-OH]1[Ac],3
27,259.3124,1.3574,1[Ph-OH]2[Ph],3
28,259.3124,0.0951,1[Cys]1[Ph-OH]1[Me2]1[Me1],4
29,259.3124,0.0097,1[Cys]2[Ac]2[Me2],5
30,297.8317,0.7143,1[Cys]1[Ph-OH]1[Ph],3
31,297.8317,1.468,2[Cys]1[Me3]1[Ox],4
32,297.8317,1.511,2[Cys]1[Ac]1[Ox],4
33,297.8317,0.1441,3[Ph]1[Ac]1[Ox],5
34,297.8317,0.5235,1[Cys]1[Ph]2[Me3]1[Me1],5
35,309.8794,0.1056,3[Ph-OH]1[Ox],4
36,309.8794,1.2646,1[Cys]1[Ph-OH]1[Ph]1[Me1],4
37,309.8794,1.4619,2[Cys]1[Me3]1[Me2],4
38,309.8794,0.1502,3[Ph]1[Ac]1[Me2],5
39,309.8794,1.4619,2[Cys]1[Me3]2[Me1],5
40,357.4209,0.006,3[Cys],3
41,357.4209,0.2085,1[Cys]2[Ph-OH]1[Me3],4
42,357.4209,0.2515,1[Cys]2[Ph-OH]1[Ac],4
43,357.4209,1.4707,2[Ph-OH]2[Ph],4
44,357.4209,0.2084,1[Cys]2[Ph-OH]1[Me2]1[Me1],5
45,377.2965,0.1992,1[Cys]1[Ph-OH]2[Ph],4
46,377.2965,1.02,2[Cys]1[Ph-OH]1[Ac],4
47,377.2965,1.063,2[Cys]1[Ph-OH]1[Me3],4
48,377.2965,0.7625,3[Ph-OH]2[Ac],5
49,377.2965,1.0631,2[Cys]1[Ph-OH]1[Me2]1[Me1],5
50,394.5535,0.5591,1[Cys]2[Ph-OH]1[Ph],4
51,394.5535,0.1946,2[Cys]1[Ph-OH]1[Me3]1[Ox],5
52,394.5535,0.2376,2[Cys]1[Ph-OH]1[Ac]1[Ox],5
53,394.5535,1.4568,1[Cys]1[Ph-OH]2[Ph]1[Ox],5
54,394.5535,0.707,1[Cys]1[Ph-OH]1[Ph]1[Ac]2[Me2],6
55,435.6873,1.4123,2[Cys]2[Ph-OH],4
56,435.6873,0.2428,2[Ph-OH]3[Ph],5
57,435.6873,1.462,1[Cys]2[Ph-OH]1[Ph]1[Ac],5
58,435.6873,1.505,1[Cys]2[Ph-OH]1[Ph]1[Me3],5
59,435.6873,1.2214,2[Cys]1[Ph-OH]1[Me3]2[Me2],6
60,453.1565,0.2497,3[Cys]1[Ph]1[Ox],5
61,453.1565,0.7889,3[Ph-OH]2[Ph],5
62,453.1565,0.0078,1[Cys]2[Ph-OH]1[Ph]1[Ac]1[Ox],6
63,453.1565,0.0352,1[Cys]2[Ph-OH]1[Ph]1[Me3]1[Ox],6
64,453.1565,1.1942,2[Cys]2[Ph]1[Me3]1[Me1],6
65,455.562,0.1399,3[Cys]1[Ph-OH],4
66,455.562,0.3544,1[Cys]3[Ph-OH]1[Me3],5
67,455.562,0.3974,1[Cys]3[Ph-OH]1[Ac],5
68,455.562,1.5152,1[Cys]1[Ph-OH]3[Ph],5
69,455.562,0.051,3[Cys]1[Me3]2[Me2],6
70,468.577,0.8717,3[Cys]1[Ph-OH]1[Me1],5
71,468.577,0.1997,2[Cys]2[Ph]1[Me3]1[Me2],6
72,468.577,0.2427,2[Cys]2[Ph]1[Ac]1[Me2],6
73,468.577,0.605,3[Ph-OH]2[Ph]1[Me1],6
74,468.577,1.1442,3[Cys]1[Ph]1[Ox]1[Me1],6
75,473.0526,1.0919,4[Ph-OH]1[Ph],5
76,473.0526,0.024,1[Cys]1[Ph-OH]3[Ph]1[Ox],6
77,473.0526,0.6865,2[Cys]1[Ph-OH]1[Ph]2[Me2],6
78,473.0526,0.6866,2[Cys]1[Ph-OH]1[Ph]1[Me3]1[Me1],6
79,473.0526,1.2862,2[Cys]1[Ph-OH]1[Ph]1[Me3]1[Ox],6
80,477.0007,0.4315,4[Cys],4
81,477.0007,0.646,2[Cys]2[Ph-OH]1[Me3],5
82,477.0007,0.689,2[Cys]2[Ph-OH]1[Ac],5
83,477.0007,1.2236,2[Cys]3[Ph],5
84,477.0007,0.9035,4[Ph-OH]1[Me3]1[Ac],6
85,493.824,0.7162,1[Cys]3[Ph-OH]1[Ph],5
86,493.824,1.2554,4[Cys]1[Ox],5
87,493.824,0.3108,3[Cys]1[Ph]2[Me2],6
88,493.824,0.3109,3[Cys]1[Ph]1[Me3]1[Me1],6
89,493.824,0.3539,3[Cys]1[Ph]1[Ac]1[Me1],6
90,516.7375,0.6492,3[Cys]2[Ph],5
91,516.7375,0.3917,1[Cys]2[Ph-OH]2[Ph]1[Ac],6
92,516.7375,0.4347,1[Cys]2[Ph-OH]2[Ph]1[Me3],6
93,516.7375,0.8275,2[Ph-OH]4[Ph],6
94,516.7375,1.2917,5[Ph-OH]1[Me2],6
95,534.8525,0.5495,3[Cys]1[Ph-OH]1[Ph],5
96,534.8525,0.2042,4[Cys]1[Me3]1[Ox],6
97,534.8525,0.2472,4[Cys]1[Ac]1[Ox],6
98,534.8525,0.292,1[Cys]3[Ph-OH]1[Ph]1[Ac],6
99,534.8525,0.335,1[Cys]3[Ph-OH]1[Ph]1[Me3],6
100,553.1585,0.2588,3[Cys]2[Ph-OH],5
101,553.1585,0.0013,1[Cys]4[Ph-OH]1[Ac],6
102,553.1585,0.0443,1[Cys]4[Ph-OH]1[Me3],6
103,553.1585,1.2179,4[Ph-OH]2[Ph],6
104,553.1585,0.4496,3[Cys]1[Ph-OH]2[Me3]1[Me1],7
105,569.5226,0.1059,3[Cys]2[Ph-OH]1[Ox],6
106,569.5226,0.4333,5[Ph-OH]1[Ph],6
107,569.5226,1.0531,4[Cys]1[Ph]1[Me1],6
108,569.5226,0.3204,1[Cys]4[Ph-OH]1[Me3]1[Ox],7
109,569.5226,0.8387,2[Cys]2[Ph-OH]1[Ph]2[Me2],7
110,610.4379,0.6998,5[Cys]1[Me1],6
111,610.4379,1.273,5[Cys]1[Ox],6
112,610.4379,1.3196,1[Cys]5[Ph-OH],6
113,610.4379,0.2037,2[Cys]2[Ph-OH]2[Ph]1[Ox],7
114,610.4379,1.5547,5[Ph-OH]1[Ph]1[Ac],7
115,613.7859,1.5358,2[Cys]3[Ph-OH]1[Ph],6
116,613.7859,0.1193,3[Ph-OH]4[Ph],7
117,613.7859,0.4199,3[Cys]3[Ph]1[Ox],7
118,613.7859,0.7993,4[Cys]1[Ph]1[Ac]1[Ox],7
119,613.7859,1.1305,4[Cys]1[Ph]1[Me3]1[Me1],7
120,633.7254,0.3282,3[Cys]2[Ph-OH]1[Ph],6
121,633.7254,0.5427,1[Cys]4[Ph-OH]1[Ph]1[Me3],7
122,633.7254,0.5857,1[Cys]4[Ph-OH]1[Ph]1[Ac],7
123,633.7254,1.0819,4[Cys]1[Ph-OH]1[Me3]1[Ox],7
124,633.7254,1.1249,4[Cys]1[Ph-OH]1[Ac]1[Ox],7
125,652.4669,1.0544,3[Cys]3[Ph-OH],6
126,652.4669,0.0615,4[Cys]2[Ph]1[Ox],7
127,652.4669,0.6007,1[Cys]3[Ph-OH]3[Ph],7
128,652.4669,0.649,5[Cys]2[Me2],7
129,652.4669,1.3237,5[Cys]1[Me3]1[Ox],7
130,692.5607,1.146,5[Cys]1[Ph-OH],6
131,692.5607,0.3307,2[Cys]3[Ph-OH]2[Ph],7
132,692.5607,0.8699,5[Cys]1[Ph]1[Ox],7
133,692.5607,0.8885,3[Cys]3[Ph-OH]1[Ac],7
134,692.5607,0.9315,3[Cys]3[Ph-OH]1[Me3],7
135,711.7798,1.5345,2[Cys]4[Ph-OH]1[Ph],7
136,711.7798,0.1206,4[Ph-OH]4[Ph],8
137,711.7798,0.4186,3[Cys]1[Ph-OH]3[Ph]1[Ox],8
138,711.7798,0.8006,4[Cys]1[Ph-OH]1[Ph]1[Ac]1[Ox],8
139,711.7798,0.8436,4[Cys]1[Ph-OH]1[Ph]1[Me3]1[Ox],8
140,731.7518,0.3594,3[Cys]3[Ph-OH]1[Ph],7
141,731.7518,0.0029,5[Cys]1[Ph]1[Ac]1[Me1],8
142,731.7518,0.0459,5[Cys]1[Ph]1[Me3]1[Me1],8
143,731.7518,0.046,5[Cys]1[Ph]2[Me2],8
144,731.7518,0.5739,1[Cys]5[Ph-OH]1[Ph]1[Me3],8
145,792.8878,1.1859,5[Cys]2[Ph-OH],7
146,792.8878,0.4692,3[Cys]2[Ph-OH]3[Ph],8
147,792.8878,1.4004,3[Cys]4[Ph-OH]1[Me3],8
148,792.8878,1.4434,3[Cys]4[Ph-OH]1[Ac],8
149,792.8878,0.9951,5[Cys]1[Ph-OH]2[Me3]1[Me1],9
150,812.5174,0.0741,4[Cys]3[Ph-OH]1[Ac],8
151,812.5174,0.1171,4[Cys]3[Ph-OH]1[Me3],8
152,812.5174,1.1451,3[Cys]3[Ph-OH]2[Ph],8
153,812.5174,0.0292,4[Cys]4[Ph]1[Ox],9
154,812.5174,1.233,5[Cys]2[Ph]1[Me3]1[Ox],9
