"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",amount of PTMs,mass error (Da),mass shift
"[0, 0, 0, 1, 0, 0]",1,0.36920780643352735,15.630192193566472
"[0, 0, 0, 2, 1, 0]",3,1.646692193566473,15.630192193566472
"[0, 0, 1, 1, 2, 1]",5,0.3470078064335276,15.630192193566472
"[0, 0, 0, 2, 2, 1]",5,2.319807806433527,15.630192193566472
"[0, 1, 2, 0, 3, 0]",6,0.4138078064335282,15.630192193566472
"[0, 0, 0, 1, 0, 0]",1,1.1403754125064243,17.139775412506424
"[0, 0, 1, 0, 1, 1]",3,0.8533245874935744,17.139775412506424
"[0, 0, 0, 2, 2, 1]",5,0.8102245874935754,17.139775412506424
"[0, 1, 2, 0, 3, 0]",6,1.0957754125064234,17.139775412506424
"[0, 0, 2, 0, 3, 2]",7,0.8311245874935729,17.139775412506424
"[0, 0, 0, 0, 0, 1]",1,1.1521519931761546,20.829648006823845
"[0, 0, 0, 1, 1, 1]",3,0.8637480068238474,20.829648006823845
"[0, 1, 1, 0, 2, 0]",4,0.7969480068238397,20.829648006823845
"[0, 0, 1, 0, 2, 2]",5,1.1299519931761566,20.829648006823845
"[0, 1, 0, 2, 3, 0]",6,0.8400480068238458,20.829648006823845
"[0, 1, 0, 1, 0, 0]",2,0.1388754206152214,57.89722457938478
"[0, 0, 1, 0, 0, 2]",3,0.09297542061521824,57.89722457938478
"[1, 0, 1, 0, 2, 0]",4,0.0786754206152196,57.89722457938478
"[0, 0, 3, 1, 0, 0]",4,0.18197542061521688,57.89722457938478
"[0, 0, 0, 2, 1, 2]",5,0.04987542061521566,57.89722457938478
"[1, 0, 0, 0, 0, 0]",1,0.011899999991968002,79.96800000000803
"[0, 1, 0, 1, 0, 1]",3,0.049899999991964705,79.96800000000803
"[0, 0, 1, 0, 0, 3]",4,0.003999999991975756,79.96800000000803
"[0, 0, 3, 1, 0, 1]",5,0.09299999999197439,79.96800000000803
"[0, 0, 0, 2, 1, 3]",6,0.03910000000801972,79.96800000000803
"[1, 0, 0, 1, 0, 0]",2,0.05204881657212468,95.92725118342787
"[0, 1, 0, 2, 0, 1]",4,0.09004881657213559,95.92725118342787
"[0, 0, 1, 1, 0, 3]",5,0.04414881657213243,95.92725118342787
"[1, 0, 1, 1, 2, 1]",6,0.02984881657212668,95.92725118342787
"[0, 0, 3, 2, 0, 1]",6,0.13314881657211686,95.92725118342787
"[0, 2, 1, 0, 0, 0]",3,0.04900473371672831,98.05099526628328
"[1, 0, 1, 0, 1, 1]",4,0.07799526628326703,98.05099526628328
"[0, 2, 0, 2, 1, 0]",5,0.005904733716732835,98.05099526628328
"[0, 0, 0, 2, 0, 3]",5,0.10679526628327096,98.05099526628328
"[0, 1, 1, 1, 1, 2]",6,0.039995266283270325,98.05099526628328
"[1, 0, 0, 0, 0, 1]",2,0.8555245793903055,102.81722457939031
"[1, 1, 0, 0, 1, 0]",3,1.1840754206097017,102.81722457939031
"[0, 1, 0, 1, 0, 2]",4,0.8175245793903088,102.81722457939031
"[0, 1, 2, 2, 0, 0]",5,0.7285245793903101,102.81722457939031
"[0, 0, 0, 1, 0, 4]",5,1.1093754206096804,102.81722457939031
"[1, 0, 2, 0, 0, 0]",3,0.11709762907356946,107.91600237092644
"[0, 2, 0, 0, 0, 1]",3,1.8608023709264216,107.91600237092644
"[0, 1, 0, 0, 0, 3]",4,0.06609762907356753,107.91600237092644
"[1, 1, 0, 0, 2, 1]",5,0.05179762907357599,107.91600237092644
"[0, 0, 0, 0, 0, 5]",5,1.9929976290735567,107.91600237092644
"[1, 0, 0, 2, 0, 0]",3,0.7985245793894364,112.77722457938944
"[0, 2, 2, 0, 0, 0]",4,0.6506245793894294,112.77722457938944
"[1, 0, 2, 0, 1, 1]",5,0.7776245793894248,112.77722457938944
"[0, 1, 5, 0, 0, 0]",6,0.6075245793894339,112.77722457938944
"[0, 0, 0, 3, 0, 3]",6,1.1663754206105637,112.77722457938944
"[1, 1, 0, 1, 1, 0]",4,0.2710519931819846,119.72964800681802
"[1, 0, 1, 0, 1, 2]",5,0.22515199318198142,119.72964800681802
"[0, 0, 0, 2, 0, 4]",6,0.1963519931819775,119.72964800681802
"[1, 0, 0, 2, 2, 2]",7,0.18205199318198595,119.72964800681802
"[0, 1, 1, 1, 1, 3]",7,0.2631519931819781,119.72964800681802
"[0, 3, 1, 0, 0, 0]",4,0.016924587490393606,140.11977541250963
"[1, 0, 0, 1, 0, 2]",4,0.17687541250961658,140.11977541250963
"[1, 0, 2, 2, 0, 0]",5,0.08787541250961795,140.11977541250963
"[0, 1, 0, 2, 0, 3]",6,0.1388754125096341,140.11977541250963
"[0, 0, 1, 1, 0, 5]",7,0.18477541250962304,140.11977541250963
"[1, 1, 0, 2, 0, 0]",4,0.27304326498028786,153.7423567350197
