"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",amount of PTMs,mass error (Da),mass shift
"[0, 0, 1, 0, 1, 1]",3,0.5856323863041837,18.578732386304182
"[0, 0, 0, 2, 2, 1]",5,0.6287323863041827,18.578732386304182
"[0, 1, 1, 1, 3, 0]",6,0.5619323863041821,18.578732386304182
"[0, 0, 2, 0, 3, 2]",7,0.6078323863041852,18.578732386304182
"[0, 0, 4, 1, 3, 0]",8,0.518832386304183,18.578732386304182
"[0, 1, 0, 1, 0, 0]",2,0.34042957896352277,58.37652957896353
"[0, 0, 0, 1, 0, 2]",3,1.5864704210364735,58.37652957896353
"[0, 0, 3, 1, 0, 0]",4,0.2973295789635273,58.37652957896353
"[1, 0, 1, 0, 2, 0]",4,0.4006295789635246,58.37652957896353
"[0, 0, 0, 2, 1, 2]",5,0.4294295789635285,58.37652957896353
"[0, 1, 0, 0, 1, 2]",4,0.3862676136917571,67.59873238630826
"[1, 1, 0, 0, 3, 0]",5,0.37196761369175135,67.59873238630826
"[0, 1, 2, 1, 1, 0]",5,0.47526761369174153,67.59873238630826
"[0, 0, 0, 4, 1, 1]",6,0.3653676136917454,67.59873238630826
"[0, 0, 0, 1, 2, 4]",7,0.29726761369174426,67.59873238630826
"[1, 0, 0, 0, 0, 0]",1,0.16410000000023217,80.14400000000023
"[0, 1, 0, 1, 0, 1]",3,0.12610000000023547,80.14400000000023
"[0, 2, 1, 0, 1, 0]",4,0.05930000000022062,80.14400000000023
"[0, 0, 0, 1, 0, 3]",4,1.800799999999768,80.14400000000023
"[0, 1, 1, 0, 1, 2]",5,1.8675999999997828,80.14400000000023
"[0, 2, 1, 0, 0, 0]",3,0.22449902480583717,98.32449902480585
"[0, 2, 0, 1, 0, 0]",3,1.7483009751941552,98.32449902480585
"[0, 1, 1, 0, 0, 2]",4,1.7024009751941662,98.32449902480585
"[0, 1, 4, 0, 0, 0]",5,0.1813990248058417,98.32449902480585
"[0, 0, 0, 2, 0, 3]",5,0.38029902480583644,98.32449902480585
"[1, 1, 1, 0, 0, 0]",3,0.511842622720053,136.55504262272007
"[1, 0, 4, 0, 0, 0]",5,0.4687426227200717,136.55504262272007
"[0, 3, 2, 0, 1, 0]",6,0.40704262272004144,136.55504262272007
"[0, 1, 2, 0, 0, 3]",6,0.5197426227200594,136.55504262272007
"[0, 0, 0, 3, 0, 4]",7,0.6296426227200698,136.55504262272007
"[2, 0, 0, 1, 0, 0]",3,0.6247999999952754,176.58399999999529
"[1, 2, 1, 0, 0, 0]",4,1.495900000004724,176.58399999999529
"[1, 1, 0, 2, 0, 1]",5,0.5867999999952929,176.58399999999529
"[0, 3, 2, 0, 0, 1]",6,0.43889999999527163,176.58399999999529
"[1, 0, 0, 2, 0, 3]",6,1.3401000000046963,176.58399999999529
"[2, 0, 0, 1, 0, 1]",4,0.5622676136929101,197.3787323863071
"[1, 2, 0, 2, 0, 0]",5,1.3266323863070966,197.3787323863071
"[0, 4, 1, 1, 0, 0]",6,0.7940676136929312,197.3787323863071
"[1, 0, 1, 1, 0, 4]",7,0.5543676136929321,197.3787323863071
"[2, 0, 4, 0, 1, 0]",7,0.6721676136929204,197.3787323863071
"[3, 0, 1, 0, 1, 0]",5,0.6529999999993379,236.60399999999936
"[3, 0, 0, 1, 1, 0]",5,1.3198000000006687,236.60399999999936
"[1, 3, 1, 1, 0, 0]",6,0.4879999999993174,236.60399999999936
"[2, 0, 0, 2, 0, 2]",6,0.681799999999356,236.60399999999936
"[3, 0, 0, 2, 2, 0]",7,0.6960999999993476,236.60399999999936
"[3, 0, 0, 1, 0, 0]",4,0.3809000000069602,256.320000000007
"[2, 2, 1, 0, 0, 0]",5,1.7397999999930107,256.320000000007
"[2, 1, 0, 2, 0, 1]",6,0.34290000000700616,256.320000000007
"[3, 0, 1, 0, 1, 1]",6,1.6127999999930012,256.320000000007
"[2, 0, 1, 1, 0, 3]",7,0.3888000000069667,256.320000000007
"[3, 0, 1, 0, 0, 1]",5,1.6321000000011168,274.3159999999989
"[2, 2, 1, 1, 0, 0]",6,0.2567999999988615,274.3159999999989
"[2, 2, 0, 2, 0, 0]",6,1.716000000001145,274.3159999999989
"[0, 6, 0, 0, 0, 1]",7,0.11399999999883903,274.3159999999989
"[0, 5, 0, 0, 0, 3]",8,1.8129000000010933,274.3159999999989
"[3, 1, 1, 0, 0, 0]",5,0.6842676136978412,295.31873238630214
"[3, 1, 0, 2, 1, 0]",7,0.6411676136979167,295.31873238630214
"[3, 0, 4, 0, 0, 0]",7,0.7273676136978793,295.31873238630214
"[3, 0, 1, 1, 1, 2]",8,0.5952676136978994,295.31873238630214
"[0, 6, 0, 0, 0, 2]",8,0.8650676136978745,295.31873238630214
"[4, 0, 1, 0, 1, 0]",6,0.9708999999935486,314.9600000000064
"[2, 3, 2, 0, 0, 0]",7,0.8369000000063807,314.9600000000064
"[3, 0, 1, 1, 0, 2]",7,1.0307000000063908,314.9600000000064
"[1, 6, 0, 0, 1, 0]",8,0.7752000000063504,314.9600000000064
"[0, 7, 0, 0, 0, 1]",8,1.2786999999936484,314.9600000000064
"[4, 0, 1, 0, 0, 0]",5,0.6101999999970076,333.33600000000297
"[4, 0, 0, 2, 1, 0]",7,0.5670999999970263,333.33600000000297
"[1, 6, 0, 0, 0, 0]",7,1.1359000000029482,333.33600000000297
"[2, 3, 0, 3, 0, 0]",8,0.7320999999970468,333.33600000000297
"[0, 7, 0, 1, 0, 1]",9,1.0979000000029373,333.33600000000297
"[4, 0, 2, 0, 0, 0]",6,0.3416621534447586,348.31446215344477
"[3, 3, 0, 0, 1, 0]",7,0.2799621534447283,348.31446215344477
"[2, 4, 0, 0, 0, 1]",7,1.7739378465552136,348.31446215344477
"[1, 6, 0, 1, 0, 0]",8,0.11496215344476468,348.31446215344477
"[3, 2, 3, 0, 1, 0]",9,0.23686215344474704,348.31446215344477
"[4, 0, 0, 2, 0, 0]",6,0.38360390079697027,352.302003900797
"[3, 2, 2, 0, 0, 0]",7,0.23570390079697745,352.302003900797
"[2, 5, 0, 0, 1, 0]",8,0.17400390079694716,352.302003900797
"[2, 3, 0, 0, 0, 3]",8,0.28670390079696517,352.302003900797
"[0, 8, 0, 1, 0, 0]",9,0.009003900796983544,352.302003900797
"[4, 0, 1, 0, 0, 1]",6,0.14588945490697824,355.782110545093
"[3, 2, 0, 2, 0, 0]",7,0.22978945490700653,355.782110545093
"[4, 0, 0, 2, 1, 1]",8,0.10278945490699698,355.782110545093
"[1, 6, 0, 0, 0, 1]",8,1.6002105450929776,355.782110545093
"[1, 7, 0, 0, 1, 0]",9,0.43938945490702963,355.782110545093
"[4, 0, 0, 1, 0, 1]",6,0.33793238630767064,358.2387323863077
"[4, 1, 1, 0, 1, 0]",7,0.27113238630772685,358.2387323863077
"[2, 4, 1, 1, 0, 0]",8,0.10613238630764954,358.2387323863077
"[0, 8, 0, 0, 0, 1]",9,0.036667613692372925,358.2387323863077
"[1, 5, 1, 2, 0, 1]",10,0.06813238630769547,358.2387323863077
"[4, 0, 0, 2, 0, 1]",7,0.10573784655207419,373.79446215344797
"[1, 7, 0, 0, 0, 0]",8,0.44233784655205,373.79446215344797
"[2, 5, 0, 0, 1, 1]",9,0.31533784655204045,373.79446215344797
"[3, 1, 0, 0, 1, 5]",10,0.07563784655201289,373.79446215344797
