PTM pattern,intensity,intensity2,intensity3,mass
2[Ph]1[Ox]1[Cys],400,400,100,295.1015
3[Ph]2[Ox]1[Na],400,200,400,293.92030
1[Me1],400,400,100,14.0266
1[Ox],400,200,400,15.9994
2[Ph]1[Ac]1[Me1]1[Cys],400,400,100,335.1654
1[Ph]3[Ac]1[Me1]1[Cys],400,200,400,339.2589
2[Ph]1[Ac]1[Me1]1[Na],400,400,100,238.0049
2[Ph]2[Ac],400,200,400,244.0332
2[Ph]1[Ox],400,400,100,175.9592
4[Ac]1[Ox],400,200,400,184.14620
3[Ph]3[Ac]1[Cys],400,400,100,485.1921
4[Ph]1[Ac]1[Me1]1[Cys],400,200,400,495.1252
3[Ph]2[Ac]1[Cys],400,400,100,443.1554
4[Ph]1[Ox]1[Cys],400,200,400,455.0613
1[Ac]1[Ox],400,400,100,58.0361
1[Ac]1[Me1]1[Ox],400,200,400,72.0627
1[Cys],400,400,100,119.1423
1[Ox]1[Cys],400,200,400,135.1417
