,protein_id,monoisotopic_mass,mean,standard_deviation,pvalue,chi_square
0,sp|P51451|BLK_HUMAN,57669.5798195592,57705.711631853264,6.396329612403547,1.0,0.008937352040200706
1,sp|A6H8Y1|BDP1_HUMAN,293705.30921476247,293859.34502266184,10.276745853487297,1.0,7.748615083293502e-07
2,sp|O60885|BRD4_HUMAN,152123.94812389137,152216.82985981225,9.905442967491142,1.0,0.0005896957947191385
3,sp|Q9Y3X0|CCDC9_HUMAN,59667.05890732572,59702.160459881394,6.268073964299154,1.0,0.009093914452066738
4,sp|P22223|CADH3_HUMAN,91361.59225654045,91417.26460816088,7.90676776610288,1.0,0.005583862921433025
5,sp|Q9BXJ4|C1QT3_HUMAN,26976.804489114773,26993.879623542805,4.441062318366987,0.0,8236615.666791551
6,sp|P09871|C1S_HUMAN,76634.8020221229,76683.55526788584,7.486924733548969,1.0,0.006663168409243664
7,sp|Q9ULX7|CAH14_HUMAN,37644.09625725849,37666.99184693116,5.055364400427732,1.0,0.015510424857936442
8,sp|Q53TS8|C2CD6_HUMAN,71113.91145893528,71157.63203906672,7.035835235767588,1.0,0.007308645086801711
9,sp|Q01518|CAP1_HUMAN,51868.69286872336,51900.714750170875,6.021214758369222,1.0,0.010209118084833947
10,sp|Q5VVM6|CCD30_HUMAN,91277.5785835572,91332.2952240481,7.841057427837313,1.0,0.0057020920503571895
11,sp|Q9BUK0|CHCH7_HUMAN,10088.8746686596,10095.092775047739,2.73731918295301,0.0,1.4122029036097464e+62
12,sp|Q9P2X3|IMPCT_HUMAN,36453.21319559543,36475.872240951285,5.1042750924981375,1.0,0.017689497638408373
13,sp|Q53TQ3|IN80D_HUMAN,113131.74611778445,113200.86116230738,8.831140994515232,1.0,0.0038646902035905555
14,sp|Q8N5I3|KCNRG_HUMAN,31028.086699147574,31047.038639946026,4.610529056116415,2.355316170364039e-58,513.750663884782
15,sp|Q96MP8|KCTD7_HUMAN,33110.49312974576,33131.21222903319,4.864552513576295,1.0,0.3965285631298918
16,sp|Q53RY4|KCP3_HUMAN,25610.65046717488,25626.599497055726,4.279238699105977,0.0,26706449348.676964
17,sp|A8MX34|KR291_HUMAN,35185.64298884586,35210.79470900989,5.6815800620233095,1.0,0.01592150870278893
18,sp|O60341|KDM1A_HUMAN,92844.66614611399,92901.49430014419,7.978904180485467,1.0,0.005427483912305187
19,sp|P12532|KCRU_HUMAN,47007.20648110944,47036.05822009406,5.706177062279508,1.0,0.011368574916671615
20,sp|Q8NBR6|MINY2_HUMAN,67064.44730226879,67105.3468230555,6.8241913267148755,1.0,0.007940932093110637
21,sp|Q701N4|KRA52_HUMAN,16257.387581821624,16270.714094922996,4.359762250394106,0.0,3480382340043303.0
22,sp|Q9UJU2|LEF1_HUMAN,44172.74746926943,44199.96866044643,5.5639208004037854,1.0,0.012308504201135053
23,sp|O75690|KRA58_HUMAN,17504.64502299032,17519.277039684606,4.587036503114646,0.0,24935456675.563713
24,sp|Q5TCM9|LCE5A_HUMAN,11786.785118919805,11795.074791655412,3.319323639275246,0.0,4.5000991721559085e+47
25,sp|Q14533|KRT81_HUMAN,54892.768609101004,54927.66478299802,6.4145715199847615,1.0,0.00990966750891963
26,sp|Q16787|LAMA3_HUMAN,366384.0298565786,366563.763203944,10.30058147223585,1.0,1.035476026501851e-07
27,sp|O76011|KRT34_HUMAN,49392.22860728279,49422.96709208814,5.982785574365612,1.0,0.011194520441236835
28,sp|P55268|LAMB2_HUMAN,195854.44058168202,195975.02597161432,10.415770686608873,1.0,2.6113245465284257e-05
29,sp|P78385|KRT83_HUMAN,54160.5094742522,54194.77801666292,6.341849738292152,1.0,0.010038430683259481
